"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"f_m8",0,0,-371.241252128485,10.5280494288216,8.03264241574592,1.01786727939057,742.48250425697,21.0560988576431
"f_m6b",-0.237545529052507,1.83010578714665,-371.478797657538,9.60795799898813,5.79486270432571,0.610531448916643,742.957595315076,19.2159159979763
"f_m9",-0.609475786720319,0.442635822493021,-371.850727915206,10.6329476001643,8.64895198696128,1.07473036393702,743.701455830412,21.2658952003287
"f_m7",-1.01648764227297,1.83798144950185,-372.257739770758,9.70299018332637,6.47635934966656,0.68478959497255,744.515479541516,19.4059803666527
"f_m10",-1.79086395025766,1.88319127544529,-373.032116078743,9.50326872549789,7.24738653959895,0.727563724444753,746.064232157486,19.0065374509958
