"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"f_m10",0,0,-324.252992977437,11.1255733610681,17.3687194503318,2.79379685648941,648.505985954873,22.2511467221361
"f_m6b",-0.0738158014407553,2.12948815664026,-324.326808778878,11.4592430469925,14.1294296152003,1.69800738848759,648.653617557755,22.918486093985
"f_m8",-0.505309059178915,2.16664642757942,-324.758302036616,11.4754250179469,14.8605637361103,1.76072996326552,649.516604073231,22.9508500358937
"f_m7",-0.868637135602127,2.21589958145346,-325.121630113039,11.3848372727443,15.6627063740088,1.82283687252542,650.243260226078,22.7696745454886
"f_m9",-1.37794354007036,2.25496750787248,-325.630936517507,11.3942551644329,16.0919045113016,1.88505872366468,651.261873035014,22.7885103288658
