"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"f_m5_pr",0,0,-55.1773971327214,3.43927182680983,6.7923602924403,1.59795342510128,110.354794265443,6.87854365361967
"f_m6_pr",-0.771243591326417,0.683395303199567,-55.9486407240478,3.36255071011001,7.75183529568385,1.79224928966398,111.897281448096,6.72510142022003
"f_m9_pr",-1.58819322833868,0.938582597209057,-56.7655903610601,3.2443341335754,8.65145931323796,1.78001916830391,113.53118072212,6.4886682671508
