"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"f_m8_pr",0,0,-55.6142437729944,3.27178329680273,6.95227508992111,1.5174721066584,111.228487545989,6.54356659360545
"f_m6_pr",-0.711240532050285,0.737228399800796,-56.3254843050447,3.17511138708308,7.7984196081086,1.64304705459206,112.650968610089,6.35022277416615
