"","<1m","1-6m","7m-1y","Few yrs","Many yrs"
"Betou",0.0393700787401575,0.456692913385827,0.15748031496063,0.236220472440945,0.110236220472441
"Dongou",0.0120481927710843,0.221686746987952,0.0216867469879518,0.178313253012048,0.566265060240964
"Enyelle",0.0526315789473684,0.285714285714286,0.0338345864661654,0.229323308270677,0.398496240601504
"Macao",0.303630363036304,0.570957095709571,0.0462046204620462,0.0033003300330033,0.0759075907590759
"Minganga",0.157635467980296,0.665024630541872,0.0541871921182266,0.0246305418719212,0.0985221674876847
