"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"kin_model_brm1b",0,0,-908.333682521515,75.7725424915692,28.4379860320731,3.79106479956696,1816.66736504303,151.545084983138
"kin_model_brm2c",-0.903157638708262,1.41241259462151,-909.236840160223,75.8134968577477,29.1350352578354,3.75477606627747,1818.47368032045,151.626993715495
"kin_model_brm1c",-3.8299559235706,2.40757524601058,-912.163638445086,76.2234385792664,27.1663735925466,3.97573196614045,1824.32727689017,152.446877158533
"kin_model_brm2",-4.43206296668836,2.37241973935261,-912.765745488202,76.2080543358126,27.6787601601059,3.71697230010419,1825.5314909764,152.416108671625
