"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic","model"
"kin_model_brm2",0,0,-912.761552005885,76.0676779509584,22.1237188781405,2.698667885219,1825.52310401177,152.135355901917,"gamma_model"
"kin_model_brm4",-10.2942402722551,4.76254513354737,-923.055792278139,77.1590724206543,20.0275991747991,3.52338667557975,1846.11158455628,154.318144841309,"lognormal_model"
