"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"kin_model_brm1b_own_bp",0,0,-3428.33571372567,51.0335539192098,71.7996288349955,13.9982730491331,6856.67142745135,102.06710783842
"kin_model_brm1d_own_bp",-0.976421433424555,3.43239143733502,-3429.3121351591,52.8127544169985,80.3235723857541,16.0290651331286,6858.6242703182,105.625508833997
"kin_model_brm1c_own_bp",-1.00901322724074,2.56081157593884,-3429.34472695291,51.1442493696635,69.5296732879778,14.2272039520842,6858.68945390583,102.288498739327
"kin_model_brm2b_own_bp",-2.61917534974893,3.69715143311944,-3430.95488907542,52.9350368000692,83.0057899803311,16.1005014764721,6861.90977815085,105.870073600138
"kin_model_brm2c_own_bp",-3.24352802256044,3.36623750502956,-3431.57924174823,51.680435169318,72.1708867932505,15.319468136128,6863.15848349647,103.360870338636
