"","Estimate","Est.Error","Q1.5","Q2.5","Q5.5","Q25","Q75","Q16.5","Q10","Q90","Q94.5","Q98.5","Q97.5","sex","age"
"1",18170.1331470473,7478.39882655479,6304.87791024589,7425.45946524238,9288.28558838044,13977.0116124137,21101.3425541107,12510.381243755,10926.3933194604,25572.8581762576,29199.9701715523,39279.0191688853,34788.4061750379,"F","Adolescent"
"2",20812.0011720177,8596.19355129714,7222.17967805845,8322.48462942635,10630.7069495081,15870.1159537497,24225.1398057586,14193.4620935351,12444.4073489479,29591.1898446935,33438.1089941883,44451.1800423101,39893.3686621908,"M","Adolescent"
"3",16675.9554162254,6552.51268290035,5967.98031345972,6884.1854084855,8686.83616009453,12974.6474713138,19207.7091225554,11685.043027515,10308.0555466963,23131.293844923,26243.8144516699,35363.5316393001,31316.088635378,"F","Adulte"
"4",28918.866871115,11398.4664332589,10299.6510696287,11796.9441798207,15188.5304313085,22552.128949561,33335.7891820734,20184.6357302877,17784.8888191609,40183.1026675989,45361.6261097744,60645.8247033831,54850.9565107872,"M","Adulte"
"5",20314.2931369173,8240.38783795505,7172.36858884125,8240.65381912516,10522.0635229581,15703.9861086914,23535.0457723482,14113.5486252717,12328.9866886301,28382.2829039539,32267.1022872038,43314.3777423125,38654.263395543,"F","Personne âgée"
"6",32534.7659228869,13345.3635077814,11160.1724879699,13084.5996471166,16522.3760153023,24829.2516678174,37843.2383622966,22191.4441655836,19588.2805488846,46171.2933951928,52170.3651209681,69506.1134705856,62190.3773571917,"M","Personne âgée"
