"","Nom.du.campement.coded","Tranche.d.age","MY.REFERENCE","Sexe","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....1","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.morts","Lieu.de.naissance.coded","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","median","max"
"14","Bonga1","Adulte","M214","M",1,"1","1","Bangui",0,97324.9384993026,88434.4374310807,80833.5723072125,0,0,0,0,128653.31795126,0,0,0,0,0,0,0,0,0,0,0,16986.2100617771,46200.1960374823,0,0,55493.5094776667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80833.5723072125,128653.31795126
"15","Bonga1","Enfant","M215","M",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"16","Bonga1","Enfant","M216","F",0,"","","Bonga1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"17","Bonga1","Enfant","M217","M",0,"","","Bangii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"18","Bonga1","Enfant","M218","M",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"19","Bonga1","Enfant","M219","F",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"20","Payo","Adolescent","M220","M",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46141.221811587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162756.001455586,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104448.611633586,162756.001455586
"21","Payo","Personne âgée","M221","F",1,"2","1","",0,97371.5452443948,88460.233845982,80838.0870613755,0,0,0,0,128746.532594066,0,0,0,0,0,0,0,0,0,70536.4045300716,0,16936.2617916787,46141.221811587,0,0,55479.945073118,0,0,0,0,0,0,0,52088.3942527075,0,0,0,0,0,0,0,0,0,0,0,0,162756.001455586,93205.9850686072,0,91719.3326773722,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84649.1604536787,162756.001455586
"22","Payo","Personne âgée","M222","M",1,"3","2","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46141.221811587,0,0,0,0,0,95292.5117399502,0,0,0,0,52088.3942527075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52088.3942527075,95292.5117399502
"23","Payo","Adulte","M223","F",1,"8","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16936.2617916787,46141.221811587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145245.237189943,0,0,0,0,0,0,162756.001455586,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95693.2295007648,162756.001455586
