"","residence_camp","ref","sex","birthplace","age","children_alive","median_dist","max_dist","region"
"55","Bokombo6","D148","F","Manfoueté","Adulte",NA,27616.8623834261,213692.346099126,"Dongou"
"56","Bokombo6","D149","M","Mimbelli","Adulte","3",9220.85096318525,867975.15843956,"Dongou"
"57","Tangassi","D15","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"58","Bokombo6","D150","M","Boucy-boucy","Enfant",NA,10505.9049949835,19234.9026806827,"Dongou"
"59","Bokombo6","D151","M","Ikouangala","Adolescent",NA,8905.00801456038,77622.720628387,"Dongou"
"60","Bokombo6","D152","F","Ikouangala","Adulte","2",8960.43707253558,64881.5344654317,"Dongou"
"61","Bokombo6","D153","M","Manfoueté","Adulte","2",11631.9842556873,64881.5344654317,"Dongou"
"62","Bokombo4","D154","M","Ikouangala","Enfant",NA,8468.85963200492,10326.1252766524,"Dongou"
"63","Bokombo5","D155","M","Sambala","Adulte","12",72797.683357682,113042.302631287,"Dongou"
"64","Bokombo3","D156","F","Ikouangala","Adolescent",NA,14870.0988582516,65114.034404681,"Dongou"
"65","Bokombo3","D157","F","Ikouangala","Adulte","5",8728.86186543516,80582.5187882869,"Dongou"
"66","Bokombo5","D158","M","Ikouangala","Enfant",NA,14876.3487773862,64950.0156119648,"Dongou"
"67","Bokombo5","D159","M","Ikouangala","Enfant",NA,10448.0449667098,19304.6525880626,"Dongou"
"68","Tangassi","D16","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"69","Bokombo5","D160","F","Bangui","Adulte",NA,10448.0449667098,64950.0156119648,"Dongou"
"70","Bokombo5","D161","M","Ikouangala","Enfant",NA,10448.0449667098,19304.6525880626,"Dongou"
"71","Bokombo5","D162","F","Manfoueté","Adulte",NA,19304.6525880626,64950.0156119648,"Dongou"
"72","Bokombo4","D163","F","Boucy-boucy","Enfant",NA,14883.5498939188,19440.9745111851,"Dongou"
"73","Bokombo4","D164","F","Boucy-boucy","Enfant",NA,14883.5498939188,19440.9745111851,"Dongou"
"74","Bokombo4","D165","M","Boucy-boucy","Enfant",NA,8468.85963200492,10326.1252766524,"Dongou"
"75","Bokombo4","D166","F","Boucy-boucy","Enfant",NA,8454.73428854258,10326.1252766524,"Dongou"
"76","Bokombo4","D167","F","Boucy-boucy","Adulte",NA,8817.18370152087,65088.1183555963,"Dongou"
"77","Bokombo4","D168","M","Boucy-boucy","Adulte","6",8760.73474093369,65088.1183555963,"Dongou"
"78","Bokombo4","D169","M","Manfoueté","Adulte",NA,10326.1252766524,65088.1183555963,"Dongou"
"79","Cacao","D17","F","Moangouma","Adulte",NA,15633.2957253897,15633.2957253897,"Dongou"
"80","Bokombo4","D170","M","Ikouangala","Enfant",NA,6611.59398735747,6611.59398735747,"Dongou"
"81","Bokombo4","D171","M","Manfoueté","Enfant",NA,6611.59398735747,6611.59398735747,"Dongou"
"82","Bokombo4","D172","F","Ikouangala","Enfant",NA,13026.2842492713,19440.9745111851,"Dongou"
"83","Bokombo4","D173","M","Ikouangala","Enfant",NA,50000.9595927272,80560.9446742692,"Dongou"
"84","Bokombo3","D174","M","Sambala","Adulte",NA,19453.7506002642,112899.999649248,"Dongou"
"85","Bokombo3","D175","M","Impfondo","Enfant",NA,62196.7086137707,111340.063758823,"Dongou"
"86","Bokombo3","D176","M","Ikouangala","Adolescent",NA,15231.6039835545,77390.2411022632,"Dongou"
"87","Bokombo4","D177","F","Ikouangala","Adulte","5",13026.2842492713,65088.1183555963,"Dongou"
"88","Bokombo2","D178","M","Manfoueté","Adolescent",NA,10673.7074409004,80784.6146749581,"Dongou"
"89","Bokombo1","D179","F","Manfoueté","Personne âgée",NA,63814.6618497907,80767.8335424014,"Dongou"
"90","Tangassi","D18","M","Moangouma","Enfant",NA,NA,-Inf,"Dongou"
"91","Bokombo2","D180","F","Manfoueté","Adulte",NA,10673.7074409004,80784.6146749581,"Dongou"
"92","Bokombo2","D181","F","Ikouangala","Enfant",NA,6381.63241713026,6381.63241713026,"Dongou"
"93","Bokombo2","D182","F","Ikouangala","Adolescent",NA,29197.3953983579,105295.323128092,"Dongou"
"94","Bokombo1","D183","M","Dongou","Enfant",NA,12157.3219877252,63814.6618497907,"Dongou"
"95","Bokombo1","D184","F","Dongou","Enfant",NA,15280.7253350035,78745.9651334468,"Dongou"
"96","Bokombo1","D185","M","Dongou","Enfant",NA,15059.1777055332,63814.6618497907,"Dongou"
"97","Bokombo1","D186","M","Dongou","Enfant",NA,15280.7253350035,63814.6618497907,"Dongou"
"98","Bokombo1","D187","M","Ikouangala","Enfant",NA,18404.1286822817,63814.6618497907,"Dongou"
"99","Bokombo1","D188","F","Dongou","Adulte","4",79756.8993379241,154284.491523127,"Dongou"
"100","Bokombo1","D189","F","Boucy-boucy","Personne âgée",NA,9730.55638440519,18404.1286822817,"Dongou"
"101","Tangassi","D19","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"102","Bokombo1","D190","F","Boucy-boucy","Enfant",NA,9730.55638440519,11714.2267287846,"Dongou"
"103","Bokombo1","D191","M","Ikouangala","Adulte","4",18404.1286822817,80767.8335424014,"Dongou"
"104","Bokombo1","D192","F","Boucy-boucy","Enfant",NA,7404.69054192718,11714.2267287846,"Dongou"
"105","Bokombo1","D193","M","Ikouangala","Adulte",NA,10111.6529737181,78745.9651334468,"Dongou"
"106","Bokombo1","D194","F","Boucy-boucy","Enfant",NA,11714.2267287846,11714.2267287846,"Dongou"
"107","Bokombo1","D195","F","Ikouangala","Enfant",NA,9559.45863535589,18404.1286822817,"Dongou"
"108","Bokombo1","D196","F","Boucy-boucy","Adulte","3",10050.1797761957,78745.9651334468,"Dongou"
"109","Mabanga2","D197","F","Boucy-boucy","Enfant",NA,5658.04995366291,5658.04995366291,"Dongou"
"110","Mabanga2","D198","M","Boucy-boucy","Enfant",NA,3060.32235436805,5658.04995366291,"Dongou"
"111","Mabanga2","D199","M","Boucy-boucy","Enfant",NA,3060.32235436805,5658.04995366291,"Dongou"
"112","Safou","D2","M","Impfondo","Enfant",NA,NA,-Inf,"Dongou"
"113","Tangassi","D20","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"114","Mabanga2","D200","M","Manfoueté","Adulte","8",5658.04995366291,43290.8434983525,"Dongou"
"115","Mabanga2","D201","M","Boucy-boucy","Enfant",NA,3060.32235436805,3781.50815444936,"Dongou"
"116","Mabanga2","D202","F","Boucy-boucy","Enfant",NA,3060.32235436805,3781.50815444936,"Dongou"
"117","Mabanga2","D203","M","Boucy-boucy","Enfant",NA,4359.18615401548,26859.1751010659,"Dongou"
"118","Mabanga2","D204","F","Manfoueté","Adulte",NA,5658.04995366291,34448.7851400482,"Dongou"
"119","Bélé","D205","F","Dongou","Adulte","1",2791.4066964964,5333.64677504892,"Dongou"
"120","Bélé","D206","M","Boucy-boucy","Enfant",NA,5333.64677504892,5333.64677504892,"Dongou"
"121","Bélé","D207","M","Dongou","Adulte",NA,17346.364818361,72109.9021879649,"Dongou"
"122","Bélé","D208","F","Boucy-boucy","Enfant",NA,19627.4237488695,26396.9267075426,"Dongou"
"123","Bélé","D209","M","Boleiké","Adolescent",NA,16002.0104666503,35063.672240396,"Dongou"
"124","Tangassi","D21","M","Boucy-boucy","Enfant",NA,15930.3462963609,19585.6422834691,"Dongou"
"125","Bélé","D210","F","Manfoueté","Adulte","2",6814.7248521142,35063.672240396,"Dongou"
