,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
mr_model_brm9,0.000,0.000,-9268.656,39.411,81.767,10.706,18537.312,78.822
mr_model_brm7,-1.338,3.994,-9269.994,39.256,77.241,10.056,18539.989,78.512
mr_model_brm8,-3.523,7.917,-9272.179,37.913,67.213,8.365,18544.359,75.826
