"","Estimate","Est.Error","Q1.5","Q2.5","Q5.5","Q25","Q75","Q16.5","Q10","Q90","Q94.5","Q98.5","Q97.5","sex","age"
"1",18015.6456520697,8374.35105002151,4799.56203060052,6023.82299941555,8287.33429604731,13680.3304588866,20994.5164327555,11976.657133614,10197.4248134767,25925.1639433726,29390.1793429959,39119.9825036632,35089.1645143734,"F","Adolescent"
"2",20502.2863137962,10449.4913799136,4937.17304243168,6125.58757507649,8588.9629722756,14809.7996210657,24287.3568111675,12805.8670405196,10662.560984784,30652.352129869,35479.737160759,47816.6845925195,42721.8177701244,"M","Adolescent"
"3",16868.7864473746,8475.94086205538,4159.03631207835,5240.94165132918,7309.91661480802,12509.5337761365,19657.4134763209,10957.1855565384,9254.06525020429,24496.0488843609,28460.6401534842,38931.0076939217,33948.7070102018,"F","Adulte"
"4",28342.7199370252,17141.8722053084,5337.05628771642,6771.56539797894,9765.09382298506,18713.9317892164,33638.2745899453,15935.9649477213,12808.455558215,45117.4419367926,53984.2816285583,78591.3099104484,68261.768195282,"M","Adulte"
"5",19945.7019348078,10010.2664080769,5182.07144028688,6539.00573079987,8870.24524263524,14759.5031820929,23263.1694528893,13012.089751949,10948.6154451487,29122.0441050563,33499.7819453393,45904.9820384836,40279.9431593107,"F","Personne âgée"
"6",33223.2442109183,20494.8921092257,6575.76644171232,8265.58597824369,11820.1388952172,21804.6648072442,39535.8082007023,18561.2530133949,15098.2968826874,53204.9072711835,63417.8824548677,92559.0376513442,79240.0587248613,"M","Personne âgée"
