"","Nom.du.campement","Old_person","Adulte","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Lieu.de.naissance.coded","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Tranche.d.age","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","median","max"
"25","Ndémiko",0,0,1,"MI120","M","Minganga",NA,"Enfant",3462.98304230643,3307.93809291307,0,0,0,0,3250.392007215,7283.85752063297,8036.69218239021,8457.09662493089,9159.38481959133,10788.7283652747,14767.9270951954,14816.6461861055,15016.1899778387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20166.4470397444,20488.4030588227,12405.064381551,16682.4570713522,0,0,0,0,0,10788.7283652747,20488.4030588227
"26","Ndémiko",0,0,1,"MI121","M","",NA,"Enfant",3462.98304230643,3307.93809291307,0,0,0,0,3250.392007215,7283.85752063297,8036.69218239021,8457.09662493089,9159.38481959133,10788.7283652747,14767.9270951954,14816.6461861055,15016.1899778387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76513.4345967005,20166.4470397444,20488.4030588227,12405.064381551,16682.4570713522,0,0,0,0,0,11596.8963734129,76513.4345967005
"27","Ndémiko",0,1,0,"MI122","F","Toukoulaka",3,"Adulte",3462.98304230643,3307.93809291307,0,0,0,0,3250.392007215,7283.85752063297,8036.69218239021,8457.09662493089,9159.38481959133,10788.7283652747,14767.9270951954,14816.6461861055,15016.1899778387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76513.4345967005,20166.4470397444,20488.4030588227,12405.064381551,16682.4570713522,0,0,0,0,0,11596.8963734129,76513.4345967005
"28","Ndémiko",0,1,0,"MI123","M","Minganga",NA,"Adulte",3462.98304230643,3307.93809291307,0,0,0,0,3250.392007215,7283.85752063297,8036.69218239021,8457.09662493089,9159.38481959133,10788.7283652747,14767.9270951954,14816.6461861055,15016.1899778387,0,0,0,0,0,0,0,115267.040120409,120631.960151461,0,0,173618.604349637,0,0,0,0,0,232315.36510749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106121.683646062,107249.665482437,0,0,0,0,0,0,76513.4345967005,20166.4470397444,20488.4030588227,12405.064381551,16682.4570713522,63159.9370162825,65221.6550824944,0,0,0,15849.3235245955,232315.36510749
"29","Ndémiko",0,0,1,"MI124","M","Attention",NA,"Enfant",3462.98304230643,3307.93809291307,0,0,0,0,3250.392007215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20166.4470397444,20488.4030588227,12405.064381551,16682.4570713522,0,0,0,0,31316.2005226718,14543.7607264516,31316.2005226718
"30","Ndémiko",0,1,0,"MI125","M","Attention",NA,"Adulte",3462.98304230643,3307.93809291307,0,0,0,0,3250.392007215,7283.85752063297,8036.69218239021,8457.09662493089,9159.38481959133,10788.7283652747,14767.9270951954,14816.6461861055,15016.1899778387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76513.4345967005,20166.4470397444,20488.4030588227,12405.064381551,16682.4570713522,0,0,0,0,0,11596.8963734129,76513.4345967005
"31","Ndémiko",0,0,0,"MI126","M","Attention",NA,"Adolescent",3462.98304230643,3307.93809291307,0,0,0,0,3250.392007215,7283.85752063297,8036.69218239021,8457.09662493089,9159.38481959133,10788.7283652747,14767.9270951954,14816.6461861055,15016.1899778387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76513.4345967005,20166.4470397444,20488.4030588227,12405.064381551,16682.4570713522,0,0,0,0,0,11596.8963734129,76513.4345967005
"32","Epopé",0,1,0,"MI127","M","Attention",NA,"Adulte",0,0,2301.16162045399,2594.78777130577,3106.05657661027,3250.392007215,0,7095.06219146973,8883.24445727768,9553.47761684404,10534.0639963311,13090.9381926525,17635.4950172576,17686.6681124203,17925.2081375192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54023.8103506314,0,0,0,0,0,0,0,0,0,0,0,0,79758.1580063447,17093.5528414319,17323.8909163794,9175.1061717803,19647.3839041298,0,0,0,0,0,11812.5010944918,79758.1580063447
"33","Ndémiko",0,1,0,"MI128","F","Attention",NA,"Adulte",3462.98304230643,3307.93809291307,0,0,0,0,3250.392007215,7283.85752063297,8036.69218239021,8457.09662493089,9159.38481959133,10788.7283652747,14767.9270951954,14816.6461861055,15016.1899778387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76513.4345967005,20166.4470397444,20488.4030588227,12405.064381551,16682.4570713522,0,0,0,0,0,11596.8963734129,76513.4345967005
"34","Ndémiko",0,1,0,"MI129","F","Bène",NA,"Adulte",3462.98304230643,3307.93809291307,0,0,0,0,3250.392007215,7283.85752063297,8036.69218239021,8457.09662493089,9159.38481959133,10788.7283652747,14767.9270951954,14816.6461861055,15016.1899778387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20166.4470397444,20488.4030588227,12405.064381551,16682.4570713522,0,0,0,0,0,10788.7283652747,20488.4030588227
"35","Makossa1",0,1,0,"MI13","F","Minganga",2,"Adulte",0,0,0,0,0,0,0,14723.2585856623,12097.643059931,11280.8157334613,10201.1381675439,5885.9973622766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12367.846125473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34795.0694156737,25820.384022718,2282.85019882368,0,0,0,0,0,12097.643059931,34795.0694156737
"36","Ndémiko",0,0,1,"MI130","F","Attention",NA,"Enfant",3462.98304230643,3307.93809291307,0,0,0,0,3250.392007215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20166.4470397444,20488.4030588227,12405.064381551,16682.4570713522,0,0,0,0,0,12405.064381551,20488.4030588227
"37","Ndémiko",0,0,1,"MI131","M","Minganga",NA,"Enfant",3462.98304230643,3307.93809291307,0,0,0,0,3250.392007215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20166.4470397444,20488.4030588227,12405.064381551,16682.4570713522,0,0,0,0,0,12405.064381551,20488.4030588227
"38","Ndémiko",0,0,1,"MI132","M","Misseké",NA,"Enfant",3462.98304230643,3307.93809291307,0,0,0,0,3250.392007215,7283.85752063297,8036.69218239021,8457.09662493089,9159.38481959133,10788.7283652747,14767.9270951954,14816.6461861055,15016.1899778387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20166.4470397444,20488.4030588227,12405.064381551,16682.4570713522,0,0,0,0,0,10788.7283652747,20488.4030588227
"39","Epopé",0,1,0,"MI133","F","Minganga",NA,"Adulte",0,0,2301.16162045399,2594.78777130577,3106.05657661027,3250.392007215,0,7095.06219146973,8883.24445727768,9553.47761684404,10534.0639963311,13090.9381926525,17635.4950172576,17686.6681124203,17925.2081375192,0,0,0,0,0,0,0,0,117723.597944281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79758.1580063447,17093.5528414319,17323.8909163794,9175.1061717803,19647.3839041298,61448.6503040097,63229.2596671059,0,0,0,15092.2455170422,117723.597944281
"40","Mbaya",0,0,1,"MI14","F","Mbili",NA,"Enfant",0,0,0,0,0,0,0,8977.81551371977,6262.38807279238,5419.28879393557,4315.92147441158,0,5885.9973622766,5941.77161417767,6369.20790186196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6482.71147905199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6102.07984348502,8977.81551371977
"41","Mbaya",0,0,0,"MI15","F","Mbili",NA,"Adolescent",0,0,0,0,0,0,0,8977.81551371977,6262.38807279238,5419.28879393557,4315.92147441158,0,5885.9973622766,5941.77161417767,6369.20790186196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6482.71147905199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69643.1004311899,29781.789239708,29693.5014605877,0,8166.58045220154,0,0,0,0,0,6425.95969045698,69643.1004311899
"42","VMA",0,0,1,"MI16","F","VMA",NA,"Enfant",0,0,0,0,0,0,0,0,2814.01352185165,3708.34757203055,4926.1498649356,8977.81551371977,14723.2585856623,14779.5745511928,15161.8323621648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3173.7113423696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21580.6975445257,21239.8847915227,0,0,0,0,0,0,0,11850.537049691,21580.6975445257
"43","Mbaya",1,1,0,"MI17","M","Mossombo",6,"Personne âgée",13467.7183631116,13399.6244670648,11840.8383864408,11494.2139861372,10931.578390827,10788.7283652747,13090.9381926525,8977.81551371977,6262.38807279238,5419.28879393557,4315.92147441158,0,5885.9973622766,5941.77161417767,6369.20790186196,0,0,0,0,0,0,0,0,130523.234934167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158455.326985449,6482.71147905199,93473.4496307852,0,0,0,0,0,0,0,0,0,96480.4217516245,0,0,0,0,0,0,69643.1004311899,29781.789239708,29693.5014605877,20470.5867014215,8166.58045220154,73893.742560323,76010.2140638245,0,0,0,12465.8882895466,158455.326985449
"44","Mbaya",0,1,0,"MI18","F","Mbili",1,"Adulte",13467.7183631116,13399.6244670648,11840.8383864408,11494.2139861372,10931.578390827,10788.7283652747,13090.9381926525,8977.81551371977,6262.38807279238,5419.28879393557,4315.92147441158,0,5885.9973622766,5941.77161417767,6369.20790186196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6482.71147905199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29781.789239708,29693.5014605877,0,8166.58045220154,0,0,0,0,0,9883.27193949723,29781.789239708
"45","VMA",0,0,0,"MI19","M","Minganga",NA,"Adolescent",7478.8284048274,7537.93364653566,7584.78657077929,7467.5444966458,7307.86802039352,7283.85752063297,0,0,2814.01352185165,3708.34757203055,4926.1498649356,8977.81551371977,14723.2585856623,14779.5745511928,15161.8323621648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3173.7113423696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78453.212437966,21580.6975445257,21239.8847915227,11823.4947689813,16992.4332653818,0,0,0,0,0,7584.78657077929,78453.212437966
"46","Makossa1",0,0,1,"MI2","M","Minganga",NA,"Enfant",0,0,0,0,0,0,0,14723.2585856623,12097.643059931,11280.8157334613,10201.1381675439,5885.9973622766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12367.846125473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2282.85019882368,0,0,0,0,0,11280.8157334613,14723.2585856623
"47","Mbaya",0,0,0,"MI20","F","Mbaya",NA,"Adolescent",0,0,0,0,0,0,0,8977.81551371977,6262.38807279238,5419.28879393557,4315.92147441158,0,5885.9973622766,5941.77161417767,6369.20790186196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6482.71147905199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69643.1004311899,0,29693.5014605877,0,8166.58045220154,0,0,0,0,0,6369.20790186196,69643.1004311899
"48","Mbaya",1,1,0,"MI21","F","Mossombo",6,"Personne âgée",0,0,0,0,0,0,0,8977.81551371977,6262.38807279238,5419.28879393557,4315.92147441158,0,5885.9973622766,5941.77161417767,6369.20790186196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99884.6185273877,0,0,0,0,0,116769.234939363,0,0,0,0,0,6482.71147905199,0,0,0,0,0,0,0,0,0,0,96480.4217516245,0,0,0,0,0,0,69643.1004311899,29781.789239708,29693.5014605877,20470.5867014215,8166.58045220154,0,0,0,0,0,8572.19798296066,116769.234939363
