"","Nom.du.campement","Old_person","Adulte","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Lieu.de.naissance.coded","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Tranche.d.age","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","median","max"
"11","Molapa_EN",0,1,"Non","E108","F","Enyelle",NA,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050.79522727313,2813.93587762802,0,0,0,0,2750.73813670969,0,0,0,0,0,0,0,0,0,38987.7735191422,31467.7823180439,0,0,0,0,0,0,0,26090.9734223986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14452.4546500133,38987.7735191422
"12","Molapa_EN",0,1,"Oui","E109","F","Enyelle",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"13","Likeko",0,1,"Non","E11","M","",NA,"Adulte",13746.0410701778,13610.515697868,13659.8002831071,13540.9661181204,13379.0126218465,0,0,0,0,0,0,0,0,0,16927.0406866605,16918.8674500404,16745.87840851,16093.2466025043,16027.0587579,0,12387.8460156948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13602.8003664751,0,0,0,0,0,60952.0856720275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13746.0410701778,60952.0856720275
"14","Molapa_EN",0,0,"Non","E110","M","Enyelle",NA,"Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050.79522727313,2813.93587762802,0,0,0,0,2750.73813670969,0,79587.6817568554,0,0,0,0,0,0,126370.931459061,38987.7735191422,31467.7823180439,7226.89474625398,0,0,0,0,0,0,26090.9734223986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26090.9734223986,126370.931459061
"15","Molapa_EN",0,1,"Non","E111","M","Enyelle",NA,"Adulte",9965.16499516064,10972.2354591508,11016.801677673,11044.4447251814,10986.3217478947,11312.9439630452,0,0,0,0,0,11184.0145615771,0,0,19573.4501261189,19487.5914936469,19412.9182315324,18994.9887491705,19174.5848550038,0,0,0,0,0,0,2050.79522727313,0,0,0,0,0,2750.73813670969,72278.8427024988,79587.6817568554,64734.2202638734,51708.0651886607,0,0,0,0,0,38987.7735191422,31467.7823180439,7226.89474625398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18994.9887491705,79587.6817568554
"16","Kombo2",0,0,"Oui","E112","M","Enyelle",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"17","Kombo2",0,0,"Oui","E113","M","Ibenga",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"18","Kombo2",0,1,"Non","E114","M","Dongou",NA,"Adulte",9865.61964328345,10891.8941339293,10935.6814351411,10967.2010959458,10912.9554273466,0,0,0,0,0,0,0,0,0,19551.9320410085,19464.704992495,19392.7235498491,18982.5522820627,19166.89823011,0,0,12529.2540501189,0,0,0,0,2531.45169856961,0,0,0,0,0,72531.4615556838,79839.8454371039,64984.2980268151,51951.5436331036,273647.966567597,97825.5735164673,106865.98698654,116308.015259437,126619.517893532,39271.8686010244,31751.9115183544,7089.40877028868,15983.4582454408,58084.3491031083,0,80952.4794161211,40023.6226106578,67902.6177929762,25823.6831635475,0,0,0,69840.2426350524,0,44298.536996589,840171.355777764,0,0,250629.173455826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39647.7456058411,840171.355777764
"19","Kombo2",0,0,"Non","E115","F","Enyelle",NA,"Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2531.45169856961,0,0,0,0,2616.32902109827,72531.4615556838,79839.8454371039,64984.2980268151,0,0,0,0,0,126619.517893532,39271.8686010244,31751.9115183544,7089.40877028868,0,0,0,0,0,67902.6177929762,25823.6831635475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39271.8686010244,126619.517893532
"20","Kombo2",0,0,"Oui","E116","M","Enyelle",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
