"Region","men_mean","men_median","women_mean","women_median","t_statistic","t_p_value","wilcox_statistic","wilcox_p_value","men_n","women_n"
"Dongou",21639.9294440485,10286.447116239,27323.5691229847,10560.8762038051,-0.249838971591086,0.810866923349638,7,0.555555555555556,5,4
"Macao",93614.247223232,9950.85315840763,13541.9205314387,7234.46642718377,1.17161604563779,0.253290079591976,330.5,0.0756709320201415,24,21
"Enyelle",21484.785320293,8648.48675565143,9953.58735746718,6536.0427737522,0.874674888401017,0.395157663480453,198,0.699584041571459,16,23
"Betou",8971.25198508257,6015.1607861229,5088.10154761131,5856.46259780541,1.38159462816772,0.186727552704147,169.5,0.116575104552735,15,17
"Minganga",12701.4167580324,14674.5662616089,12979.0243635731,14767.9270951954,-0.322036308588156,0.747914765560672,2399.5,0.554607991386923,76,67
