"","age","sex","mean_fam_visit","mean_friend_visit","mean_gather","mean_hunt","mean_explore","mean_fish","mean_dance","mean_bantu_work","mean_live"
"1","Adolescent","F",0.243279917849296,0.0495526695526695,0.0479627098048151,0,0.0228650137741047,0.0273068000579962,0.0994752722025449,0.114059390901496,0.112696410447607
"2","Adolescent","M",0.103424625613621,0.0501537288469107,0.048506079247706,0.0292576741440378,0.0348312672176308,0.0677851006648854,0.0682248622589532,0.173915289256198,0.0527482618391709
"3","Adulte","F",0.189865948317161,0.0359553306018709,0.0577284932484993,0,0.021310376817511,0.0435113683337551,0.0466627665563424,0.138402817773917,0.0800891316869279
"4","Adulte","M",0.138495935585425,0.048352404709927,0.0270734948170844,0.0284075230777735,0.0599338086629504,0.0371853754451116,0.0425683941092975,0.202862589555884,0.0538531202846315
"5","Personne âgée","F",0.271482425983713,0.0157017228774848,0.0567486311956453,0,0.0236792088138651,0.0374334134414704,0.0399967155618243,0.118486794858069,0.0927796136228939
"6","Personne âgée","M",0.195280065052792,0.00804195804195804,0.017690491326855,0.0659189295552932,0.0526278435369345,0.0188495511222784,0.0186506086506087,0.249807154125336,0.101703792840156
