"elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
0,0,-29679.2976738789,89.269946371883,343.424495503289,21.3568715555754,59358.5953477579,178.539892743766
-23.577342179604,11.4619195920679,-29702.8750160587,90.2807635389477,348.811461881551,22.8400395546464,59405.7500321174,180.561527077895
-80.4587698385259,19.5381157644592,-29759.7564437175,87.6950044535197,328.270400567118,20.8956620603154,59519.512887435,175.39000890704
-99.5646761031976,21.8667123056623,-29778.8623499821,88.3697630874864,331.172830133053,21.8709911168634,59557.7246999643,176.739526174973
