"Region","men_mean","men_median","women_mean","women_median","t_statistic","t_p_value","wilcox_statistic","wilcox_p_value","men_n","women_n"
"Dongou",265947.99794449,70184.0486742242,129973.533708742,38520.882138096,1.83478932747044,0.0736552313052444,565,0.111379155518965,50,18
"Macao",96473.5724156143,92407.9719542651,44561.6870948413,46141.221811587,7.63813422685759,3.92283783226716e-13,15901.5,2.73154987266423e-14,226,91
"Enyelle",149631.00619039,81882.2150312243,33210.7506060892,13460.6504077574,4.44401262700418,2.9887067768123e-05,2900.5,2.01529231706901e-09,68,52
"Betou",208594.799965363,28118.8563881436,23335.4702557123,14636.1759283919,3.09771799096952,0.00408281846122326,259,0.0287267302599955,30,12
"Minganga",61691.8951832898,75054.5381504606,41266.1386685631,28173.8878017831,3.06844871621519,0.00273443938940264,2006,0.0081700607223772,72,43
