"age","sex","sd_fam_visit","sd_friend_visit","sd_gather","sd_hunt","sd_explore","sd_fish","sd_dance","sd_bantu_work","sd_live"
"Adolescent","F",0.32709122626267,0.140431989149633,0.163134652202519,0,0.102093213501401,0.0747538285785436,0.234390627292487,0.261775669732144,0.254909574951338
"Adolescent","M",0.210181832717097,0.160469964693861,0.16300300965749,0.0936115832294189,0.0982675665447263,0.178147707005598,0.189630018753526,0.250847011083579,0.10307370662327
"Adulte","F",0.2710000436739,0.0913436875357583,0.139139911347339,0,0.0772377509877136,0.113063839596157,0.116101608202443,0.242953714465964,0.202858761441918
"Adulte","M",0.205547011551218,0.109716721960033,0.0714089340840661,0.0987587202978445,0.145573783083176,0.0875184382715719,0.106214046867442,0.224537999282766,0.124891987436603
"Personne âgée","F",0.29216747013651,0.0466460888807035,0.13229755314743,0,0.0838461245385905,0.125393192296419,0.10759478984287,0.243128750382186,0.171626701635528
"Personne âgée","M",0.276300777974269,0.0376096917032916,0.0661976720747687,0.193814642438276,0.126670153682549,0.048354204605216,0.0708430849006483,0.317699102164205,0.254083050670858
