"","sex","region","mean_fam_visit","mean_friend_visit","mean_gather","mean_hunt","mean_explore","mean_fish","mean_dance","mean_bantu_work","mean_live"
"1","F","Dongou",0.372413793103448,0,0.00287356321839081,0,0.0354406130268199,0.0291187739463602,0.0524904214559387,0.0411877394636015,0.145402298850575
"2","F","Enyelle",0.16408755966256,0.0537675713175713,0.0463173215673216,0,0.0218333333333333,0.0255563131313131,0.103832326007326,0.0992872044622045,0.0730535714285714
"3","F","Macao",0.180349303474303,0.026468253968254,0.0990785372035372,0,0.0181915306915307,0.0348710317460317,0.0196230158730159,0.277893819143819,0.0836742424242425
"4","F","Minganga",0.183622324720412,0.018693512257922,0.07438653724493,0,0.00938030202399566,0.0831933776054788,0.040232351530875,0.0662008946870767,0.0354700595840049
"5","F","betou",0.121730790136363,0.125094039946981,0.0327375368010043,0,0.0263173195913134,0.0471596852866203,0.0396691237325912,0.0494548044548045,0.0913573721313659
"6","M","Dongou",0.213925438596491,0.0131578947368421,0,0.0675438596491228,0.0491228070175439,0.0285087719298246,0.0383771929824561,0.170175438596491,0.0548245614035088
"7","M","Enyelle",0.174726403301454,0.0701775620893268,0.0227500281252817,0.0417747942088713,0.0580443793679088,0.0321889777265031,0.106692769142059,0.152207673252298,0.0632169479532563
"8","M","Macao",0.100942956316788,0.0369505883524575,0.0374436311352199,0.021375612964398,0.0544209943742654,0.0235896761597696,0.0104281492131959,0.330664040009834,0.0820654164112108
"9","M","Minganga",0.116622382719721,0.0293954524826845,0.0625967637517345,0.0134748112330958,0.0591847994678743,0.0918179062895776,0.0535138129810348,0.115466356514539,0.0223014998502328
"10","M","betou",0.08366165142921,0.129543485893083,0.0186274509803922,0.0126612517916866,0.0646392069468992,0.0355866426838294,0.0415162318854774,0.0837912517838251,0.0611801550008563
