"","Nom.du.campement","Old_person","Adulte","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Lieu.de.naissance.coded","Tranche.d.age","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","median","max","min","places_visited","total_friend_visit"
"71","Wongo3",0,1,"Non","BE73","M","","Adulte",0,0,0,0,0,0,0,62.0680441912924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0680441912924,62.0680441912924,62.0680441912924,11,1
"73","Wongo2",0,1,"Non","BE75","M","Bétou","Adulte",0,0,0,0,0,0,745.615800059294,0,62.0680441912924,141.044613212853,458.550417275102,780.616818305202,854.10138808547,1176.19480310018,1270.10943228734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763.116309182248,1270.10943228734,62.0680441912924,13,8
"74","Wongo3",0,1,"Non","BE76","F","","Adulte",0,0,0,0,0,0,0,62.0680441912924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0680441912924,62.0680441912924,62.0680441912924,9,1
"75","Wongo3",0,1,"Non","BE77","F","Kenkenze","Adulte",0,0,0,0,0,0,0,62.0680441912924,0,131.594846860887,450.129624156412,771.506739925949,841.828490583558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.129624156412,841.828490583558,62.0680441912924,8,5
"77","Wongo2",0,1,"Non","BE79","F","Kenkenze","Adulte",0,0,0,0,0,0,0,0,62.0680441912924,141.044613212853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.556328702073,141.044613212853,62.0680441912924,9,2
"78","Wongo1",0,1,"Non","BE80","M","","Adulte",0,0,0,0,0,0,0,745.615800059294,684.523162201362,729.946678511615,862.155913126479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737.781239285455,862.155913126479,684.523162201362,4,4
"80","Wongo1",0,1,"Non","BE82","M","Kenkenze","Adulte",0,0,0,0,0,0,0,0,0,729.946678511615,862.155913126479,1070.42584484132,1096.80100521821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966.290878983901,1096.80100521821,729.946678511615,13,4
"82","Wongo1",0,1,"Non","BE84","F","Mongoumba(Centrafrique)","Adulte",0,0,0,0,0,0,0,0,0,0,862.155913126479,1070.42584484132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966.290878983901,1070.42584484132,862.155913126479,8,2
"84","Koueta",1,1,"Non","BE86","F","(Centrafrique)","Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,3,0
"88","Koueta",0,1,"Non","BE90","M","Wongo1","Adulte",0,0,0,0,164.098383315161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.098383315161,164.098383315161,164.098383315161,10,1
