"","age","sex","median_dist_mean","median_dist_median","max_dist_mean","max_dist_median"
"1","Adolescent","F",14.8480177309773,8.74138591060168,29.3848494128597,23.078270935297
"2","Adolescent","M",16.0061391141862,10.0357802203131,30.3925919913406,20.3328587070465
"3","Adulte","F",12.7924400606375,9.15938481959133,39.8833058295995,27.8960473511169
"4","Adulte","M",24.1578826991676,11.4942139861372,65.3526928215289,46.3270918961585
"5","Personne âgée","F",15.6792565649571,9.55347761684404,40.4398643650106,26.9863058374308
"6","Personne âgée","M",21.9332785915492,13.2967094008652,85.771231097358,58.6449359013506
