"","Nom.du.campement","Old_person","Adulte","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Lieu.de.naissance.coded","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Tranche.d.age","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","median","max"
"15","Kakélo5",0,0,"Non","M142","M","Bangui",NA,"Adolescent",0,0,0,0,0,0,0,0,0,0,10120.0868718259,9944.53369670127,7848.88419351203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9944.53369670127,10120.0868718259
"16","Kakélo2",0,0,"Oui","M134","F","Bangui",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"17","Boua1",1,1,"Non","M63","F","Bangui",NA,"Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,9172.8837897126,9085.00963425744,9540.52380693512,10038.0800338818,10120.0868718259,10411.3955637844,0,94999.900951864,0,0,0,0,0,0,125796.580993017,0,0,0,0,0,0,1752.49987354925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10038.0800338818,125796.580993017
"18","Bateké1",0,1,"Non","M11","M","Djoubou",NA,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123026.740058616,0,105277.767860279,0,0,0,0,154119.4245682,0,0,0,0,67990.6458306737,0,0,0,0,0,0,0,0,0,0,79244.0436877342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105277.767860279,154119.4245682
"19","Kakélo4",0,1,"Non","M162","F","Bangui",NA,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"20","Bakouengué",0,0,"Oui","M27","F","Macao",NA,"Enfant",0,0,0,0,0,2354.70991101907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24156.7445854683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13255.7272482437,24156.7445854683
"21","Bakouengué",0,0,"Oui","M29","F","Macao",NA,"Enfant",0,0,0,0,0,2354.70991101907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23900.5982679839,0,0,0,0,0,24156.7445854683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23900.5982679839,24156.7445854683
"22","Boua2",0,1,"Non","M130","M","Bangui",NA,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,2139.85027524602,9011.84018413536,8919.50767534176,9372.23789720004,9863.62628293346,9944.53369670127,10235.1190240658,0,0,86475.3939933409,79223.9135333604,0,0,0,0,0,0,0,0,0,40909.4204302595,0,0,0,0,0,0,0,48714.5232436876,0,0,54223.313255282,0,0,0,0,0,0,0,48817.1425292464,0,0,0,0,0,0,0,0,0,0,0,0,10235.1190240658,86475.3939933409
"23","Boua2",0,1,"Non","M126","M","Bangui",NA,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,2139.85027524602,9011.84018413536,8919.50767534176,9372.23789720004,9863.62628293346,9944.53369670127,10235.1190240658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9372.23789720004,10235.1190240658
"24","Boua2",0,0,"Oui","M72","M","Bangui",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1874.17275648421,0,0,0,0,0,48714.5232436876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25294.3480000859,48714.5232436876
"25","Kakélo5",0,0,"Oui","M101","F","Bangui",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,2480.03501039679,2009.72857423378,1483.03121989781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11567.8787351302,0,0,0,0,0,50486.2716079486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2480.03501039679,50486.2716079486
"26","Boua1",0,0,"Oui","M138","F","Bangui",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"27","Boua1",0,1,"Non","M68","F","Bangui",NA,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,2306.38930255378,9172.8837897126,9085.00963425744,9540.52380693512,10038.0800338818,10120.0868718259,10411.3955637844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9540.52380693512,10411.3955637844
"28","Molapa_MA",0,0,"Oui","M20","M","Macao",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25618.6685608506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25618.6685608506,25618.6685608506
"29","Moyimbi",0,0,"Oui","M10","M","Macao",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35003.7855742702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35003.7855742702,35003.7855742702
"30","Kakélo6",0,0,"Oui","M152","M","Bangui",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"31","Mopendé",1,1,"Non","M36","F","Papé",NA,"Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16600.904756644,0,0,0,0,0,31106.7974446578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23853.8511006509,31106.7974446578
