"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"mr_model_brm9",0,0,-6198.84648134781,24.2566003078093,46.1756307241631,4.00692666542929,12397.6929626956,48.5132006156187
"mr_model_brm7",-2.01380616308475,3.48039618846313,-6200.86028751088,24.3815948240129,40.7618276077559,3.67552313421387,12401.7205750218,48.7631896480257
"mr_model_brm8",-2.16670068522892,4.01470735103961,-6201.01318203304,24.6600634085084,37.0333718667114,3.51162860767729,12402.0263640661,49.3201268170169
