"","age","sex","region","median_dist_mean","median_dist_median","max_dist_mean","max_dist_median"
"1","Adolescent","F","Betou",5.57776291958355,3.88153772647857,14.8772306350615,7.5991762526045
"2","Adolescent","F","Enyelle",9.16662787374123,4.85286889569347,29.2550899279921,13.3803346973944
"3","Adolescent","F","Macao",22.4130822080406,18.1015448824699,40.8555159474327,34.9258157462238
"4","Adolescent","F","Minganga",12.7428144647064,9.25652842472249,19.979708784227,16.648903366979
"5","Adolescent","M","Betou",5.25849100203468,5.25849100203468,10.8662064043458,10.8662064043458
"6","Adolescent","M","Enyelle",6.21084661248728,6.91685038289655,27.1154814835083,26.6223365497247
"7","Adolescent","M","Macao",23.5778586703289,16.600904756644,36.6818372956242,22.8321102512414
"8","Adolescent","M","Minganga",12.5737856597538,10.0975038481931,27.7017760140344,20.3328587070465
"9","Adulte","F","Betou",7.25386116001538,6.01174974941151,100.298470884039,47.6978257632452
"10","Adulte","F","Enyelle",6.66786043157745,3.44773584256986,34.5107098250768,25.9127851588169
"11","Adulte","F","Macao",19.1165605906471,13.3112377146769,34.3628849902896,28.8294870227704
"12","Adulte","F","Minganga",14.8966424571468,12.1527242278768,26.5528535312907,20.8641439251727
"13","Adulte","M","Betou",16.5567457560793,6.74058296664953,95.7163430871523,48.4636047855071
"14","Adulte","M","Enyelle",8.79019655849768,8.79251599785608,66.3909326448164,40.6838383252678
"15","Adulte","M","Macao",39.4900270180806,33.7479019226571,71.3591478095027,73.4744781655671
"16","Adulte","M","Minganga",17.1141580102597,12.7018874275692,34.9469216656181,22.2132999245403
"17","Personne âgée","F","Betou",6.41853045373014,3.69025646985667,98.524259566229,100.57834189928
"18","Personne âgée","F","Enyelle",6.87569520675294,7.00779078689532,31.611374984248,25.8236831635475
"19","Personne âgée","F","Macao",23.6837549865789,20.7028091778309,41.8833292409235,38.5892466746511
"20","Personne âgée","F","Minganga",22.6823544575704,14.3788147186411,37.8364524364667,22.2132999245403
"21","Personne âgée","M","Betou",1.61570702537732,1.61570702537732,184.323600475667,184.323600475667
"22","Personne âgée","M","Enyelle",14.9399184656448,8.46742353410874,122.503997508226,47.2237043545811
"23","Personne âgée","M","Macao",32.2049084643999,24.7143215224878,77.2188547933083,74.1440604324203
"24","Personne âgée","M","Minganga",11.7320262028593,10.51454111951,36.1432196031701,22.6072555130097
