"","residence_camp","ref","sex","birthplace","age","children_alive","median_dist","max_dist","region"
"67","Kakélo5","M144","M","Bangui","Enfant",NA,2480.03501039679,50486.2716079486,"Macao"
"68","Kakélo6","M110","M","Bangui","Enfant",NA,5472.94721735033,50376.2539772928,"Macao"
"69","Kakélo6","M106","M","Bangui","Enfant",NA,11840.2978704713,11840.2978704713,"Macao"
"70","Kakélo6","M155","M","Bangui","Enfant",NA,NA,-Inf,"Macao"
"71","Molapa_MA","M24","M","Bangui","Adulte","0",109043.327784915,118055.666746253,"Macao"
"72","Kakélo4","M117","F","Bangui","Enfant",NA,1980.70792229849,11509.7489234474,"Macao"
"73","Kakélo2","M83","M","Bangui","Adulte","6",8919.50767534176,51756.9057453129,"Macao"
"74","Bateké1","M13","F","Macao","Enfant",NA,20395.0632459383,20395.0632459383,"Macao"
"75","Bateké1","M12","F","Macao","Adulte","1",20395.0632459383,20395.0632459383,"Macao"
"76","Kakélo4","M163","M","Bangui","Enfant",NA,50714.8513661867,50714.8513661867,"Macao"
"77","Kakélo6","M150","M","Macao","Adulte",NA,6516.0313907009,50376.2539772928,"Macao"
"78","Kakélo4","M169","M","Bangui","Enfant",NA,NA,-Inf,"Macao"
"79","Mopendé","M41","F","Papé","Adulte",NA,23853.8511006509,31106.7974446578,"Macao"
"80","Kakélo4","M115","M","","Adulte",NA,8809.84977165081,14270.526473673,"Macao"
"81","Kakélo2","M131","M","Bangui","Adulte","3",7849.58994855048,94426.4274009964,"Macao"
"82","Molapa_MA","M25","F","Macao","Adulte",NA,25618.6685608506,25618.6685608506,"Macao"
"83","Boua2","M123","F","Bangui","Enfant",NA,9617.93209006675,48714.5232436876,"Macao"
"84","Boua1","M137","F","Dongou","Adulte",NA,9085.00963425744,9172.8837897126,"Macao"
"85","Kakélo1","M97","F","Bangui","Adulte",NA,10804.3359712803,52276.2931404123,"Macao"
"86","Papé","M50","F","Papé","Enfant",NA,19295.4975590499,34925.8157462238,"Macao"
"87","Papé","M45","F","Papé","Enfant",NA,5795.34338897457,34925.8157462238,"Macao"
"88","Atanga","M172","F","Macao","Adolescent",NA,10337.4626940218,32571.7269187918,"Macao"
"89","Kakélo4","M166","F","Bangui","Enfant",NA,NA,-Inf,"Macao"
"90","Boua2","M122","F","Bangui","Adulte",NA,9372.23789720004,10235.1190240658,"Macao"
"91","Kakélo4","M161","M","Bangui","Adulte",NA,1750.38603825094,1750.38603825094,"Macao"
"92","Boua2","M125","F","Bangui","Enfant",NA,NA,-Inf,"Macao"
"93","Kakélo4","M165","F","Bangui","Enfant",NA,NA,-Inf,"Macao"
"94","Kakélo2","M89","M","Bangui","Adolescent",NA,20618.3782957753,51756.9057453129,"Macao"
"95","Moyimbi","M1","F","Dongou","Adulte","6",35003.7855742702,35003.7855742702,"Macao"
"96","Kakélo6","M107","M","Bayanga","Adulte","2",7318.62081390365,123770.103643903,"Macao"
"97","Moyimbi","M7","M","Macao","Adulte","2",35003.7855742702,53423.603270404,"Macao"
"98","Mopendé","M33","M","Papé","Personne âgée",NA,17855.6441613542,143078.520478858,"Macao"
"99","Mopendé","M37","M","Papé","Adolescent",NA,16600.904756644,31106.7974446578,"Macao"
"100","Malomba","M55","M","Bangui","Personne âgée",NA,38589.2466746511,138926.602994419,"Macao"
"101","Malomba","M61","M","Molapa_MA","Enfant",NA,12972.1312867542,38589.2466746511,"Macao"
"102","Atanga","M177","F","Macao","Adulte",NA,8433.82904666263,108144.948418122,"Macao"
"103","Mopendé","M39","M","Papé","Adulte","5",4182.8731431283,4604.49087805054,"Macao"
"104","Kakélo1","M147","F","Bangui","Enfant",NA,NA,-Inf,"Macao"
"105","Boua1","M67","M","Bangui","Adulte",NA,9356.70379832386,10411.3955637844,"Macao"
"106","Atanga","M171","F","Macao","Adulte","4",13311.2377146769,108144.948418122,"Macao"
"107","Kakélo3","M149","F","Bangui","Enfant",NA,1212.33052015549,1212.33052015549,"Macao"
"108","Kakélo6","M159","F","Bangui","Adulte",NA,6516.0313907009,10411.3955637844,"Macao"
"109","Moyimbi","M3","F","Macao","Enfant",NA,35003.7855742702,35003.7855742702,"Macao"
"110","Moyimbi","M6","M","Macao","Enfant",NA,35003.7855742702,35003.7855742702,"Macao"
"111","Kakélo4","M118","M","Bangui","Enfant",NA,6361.03972180146,11509.7489234474,"Macao"
"112","Bateké2","M16","F","Moudjanda","Personne âgée",NA,20702.8091778309,26986.3058374308,"Macao"
"113","Molapa_MA","M23","F","Macao","Enfant",NA,23856.6692375096,25618.6685608506,"Macao"
"114","Boua2","M129","M","Bangui","Enfant",NA,NA,-Inf,"Macao"
"115","Atanga","M176","F","Thanry","Adolescent","0",16880.6737670422,32571.7269187918,"Macao"
"116","Papé","M47","F","Loundoungou","Enfant",NA,19295.4975590499,34925.8157462238,"Macao"
"117","Molapa_MA","M19","F","Bangui","Adulte",NA,25618.6685608506,118055.666746253,"Macao"
"118","Boua1","M62","M","Bangui","Personne âgée","5",10120.0868718259,91195.6654036681,"Macao"
"119","Kakélo2","M86","M","Bangui","Enfant",NA,31218.3545378526,51756.9057453129,"Macao"
"120","Boua1","M69","M","Bangui","Adulte",NA,25523.5558906933,48740.7224788328,"Macao"
"121","Kakélo1","M146","F","Bangui","Enfant",NA,NA,-Inf,"Macao"
"122","Kakélo6","M158","M","Bangui","Adulte",NA,NA,-Inf,"Macao"
"123","Atanga","M170","F","Macao","Personne âgée",NA,10820.7070825687,16245.3167618125,"Macao"
"124","Atanga","M179","M","","Enfant",NA,7700.28802650198,16245.3167618125,"Macao"
"125","Boua2","M73","M","Bangui","Enfant",NA,9372.23789720004,48714.5232436876,"Macao"
"126","Kakélo2","M88","M","Bangui","Personne âgée",NA,10679.8033303923,51756.9057453129,"Macao"
"127","Malomba","M56","F","Macao","Personne âgée",NA,9328.28308549739,38589.2466746511,"Macao"
"128","Kakélo4","M120","F","Bangui","Adolescent",NA,4983.55153335711,50714.8513661867,"Macao"
"129","Boua2","M121","M","Bangui","Adulte",NA,9617.93209006675,86475.3939933409,"Macao"
"130","Kakélo1","M139","M","Bangui","Adulte",NA,9092.36198692398,80023.9692795281,"Macao"
