"","Nom.du.campement.coded","Tranche.d.age","MY.REFERENCE","Sexe","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....1","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.morts","Lieu.de.naissance.coded","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","median","max"
"18","Bonga1","Enfant","M218","M",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"19","Bonga1","Enfant","M219","F",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"20","Payo","Adolescent","M220","M",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"21","Payo","Personne âgée","M221","F",1,"2","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70536.4045300716,0,0,0,0,0,0,0,0,0,0,0,0,0,52088.3942527075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,61312.3993913895,70536.4045300716
"22","Payo","Personne âgée","M222","M",1,"3","2","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46141.221811587,0,0,0,0,0,95292.5117399502,0,0,0,0,52088.3942527075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,52088.3942527075,95292.5117399502
"23","Payo","Adulte","M223","F",1,"8","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597.3212503376,0,0,0,0,16936.2617916787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9266.79152100816,16936.2617916787
"24","Payo","Adulte","M224","M",1,"7","1","Bangui",93415.6069361875,0,88460.233845982,80838.0870613755,0,0,0,0,0,0,0,0,0,42779.1617904572,0,1597.3212503376,0,0,0,0,16936.2617916787,0,0,0,55479.945073118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55479.945073118,93415.6069361875
"25","Payo","Enfant","M225","M",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"26","Payo","Adulte","M227","F",1,"1","Aucun","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46141.221811587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46141.221811587,46141.221811587
"27","Payo","Adulte","M228","F",1,"7","0","Djoube",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597.3212503376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1597.3212503376,1597.3212503376
"28","Payo","Adulte","M229","M",1,"5","1","Bangui",0,97371.5452443948,88460.233845982,80838.0870613755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16936.2617916787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84649.1604536787,97371.5452443948
"29","Payo","Adulte","M230","M",1,"Erreur","","Macao",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46141.221811587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,46141.221811587,46141.221811587
"30","Payo","Enfant","M231","F",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"31","Payo","Enfant","M232","F",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"32","Payo","Enfant","M233","M",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"33","Payo","Enfant","M234","F",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"34","Payo","Enfant","M235","F",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"35","Payo","Enfant","M236","M",0,"","","Loundoungou",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"36","Bate","Adulte","M237","F",1,"3","3","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"37","Bate","Adulte","M238","M",1,"3","3","Bandza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"38","Bete3","Adulte","M239","M",1,"2","1","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46327.0918961585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,46327.0918961585,46327.0918961585
"39","Bete3","Adulte","M240","F",1,"2","1","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"40","Bete3","Adulte","M241","F",1,"2","1","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418.61090347273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1418.61090347273,1418.61090347273
"41","Bete1","Adulte","M242","M",1,"5","10","Bangui",0,0,88443.8490516258,0,0,0,0,0,0,0,0,0,0,0,0,1515.12784335266,0,0,0,0,0,46182.5040756221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,46182.5040756221,88443.8490516258
"42","Bete1","Adulte","M243","F",1,"5","4","Mboule",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515.12784335266,0,0,0,0,16970.6482150737,46182.5040756221,0,0,0,0,0,0,0,0,0,0,51970.7309203976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,31576.5761453479,51970.7309203976
"43","Bete1","Personne âgée","M244","F",1,"3","10","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"44","Bete1","Adulte","M245","M",1,"4","5","Bangui",0,0,88443.8490516258,80837.6514350458,0,0,0,0,0,0,0,0,0,42765.9120040806,0,0,0,0,0,0,0,0,0,0,55493.0083186083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68165.329876827,88443.8490516258
"45","Payo","Adulte","M246","M",1,"5","2","Boua",0,97371.5452443948,88460.233845982,0,0,0,0,0,0,0,0,0,0,0,0,1597.3212503376,0,0,0,0,16936.2617916787,46141.221811587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46141.221811587,97371.5452443948
"46","Payo","Personne âgée","M247","F",1,"3","5","",0,0,0,0,0,0,0,0,128746.532594066,0,0,0,0,0,0,1597.3212503376,0,0,0,0,0,46141.221811587,0,0,55479.945073118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,50810.5834423525,128746.532594066
"47","Payo","Adulte","M248","F",1,"5","2","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46141.221811587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46141.221811587,46141.221811587
"48","Bete3","Enfant","M249","M",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"49","Bete3","Enfant","M250","M",0,"","","Loundoungou",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"50","Bonga1","Adulte","M251","",1,"5","0","Mboule",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1485.68664851611,0,0,0,0,16986.2100617771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,9235.94835514658,16986.2100617771
"51","Bete1","Adolescent","M252","F",1,"1","Aucun","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"52","Bete1","Adulte","M253","F",1,"6","2","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
