"","age","sex","sd_fam_visit","sd_friend_visit","sd_gather","sd_hunt","sd_explore","sd_fish","sd_dance","sd_live"
"1","Adolescent","F",0.318827178879908,0.173122889983542,0.197302787990206,0,0.088405324793618,0.199468117444407,0.260512251824244,0.283028647301467
"2","Adolescent","M",0.165680565285234,0.105904674332668,0.255352888314757,0.065412165143319,0.229549018494257,0.203130758971515,0.212154542297679,0.196086886340538
"3","Adulte","F",0.237251111632119,0.177908207120279,0.213040517156648,0,0.0842141485117927,0.118946955284254,0.177546057829971,0.185456251245073
"4","Adulte","M",0.239647117333461,0.197725997071328,0.147325335697191,0.104322413226994,0.177552666395251,0.141619592458415,0.132185200020489,0.180442617871452
"5","Personne âgée","F",0.324375993296986,0.0574649991040914,0.193929091501204,0,0.158082406138308,0.150016890276024,0.177905460346958,0.187308680379564
"6","Personne âgée","M",0.30847041779347,0.0718813213487589,0.147692794982372,0.101116882175963,0.180186589083642,0.095199581308925,0.0127530541406017,0.266100815634129
