"","places_visited","times_live","times_just_visit","times_hunt","times_friend_visit","times_dance","times_fam_visit","times_fish","times_gather"
"sum2",3291,204,142,53,264,173,440,271,312
"sum3",1,0.0619872379216044,0.0431479793375874,0.0161045274992404,0.0802187784867821,0.0525676086295959,0.133697964144637,0.0823457915527195,0.0948040109389243
