"","residence_camp","ref","sex","birthplace","age","median_dist","max_dist","min_dist","places_visited","times_gather","region"
"881","Goumakoungou2","M289","F","Bangui","Adulte",25941.248316406,25941.248316406,25941.248316406,4,1,"Macao"
"89","Goumakoungou2","M290","F","Bangui","Personne âgée",NA,-Inf,-Inf,1,0,"Macao"
"901","Goumakoungou2","M291","M","Mboule","Adulte",7603.19022978003,7603.19022978003,7603.19022978003,6,1,"Macao"
"911","Goumakoungou2","M293","M","Bangui","",7603.19022978003,7603.19022978003,7603.19022978003,1,1,"Macao"
"92","Goumakoungou2","M294","F","Bangui","Adolescent",7603.19022978003,7603.19022978003,7603.19022978003,2,1,"Macao"
"93","Goumakoungou2","M295","F","Bangui","Adolescent",NA,-Inf,-Inf,1,0,"Macao"
"941","Keke","M296","M","Djoube","Adulte",13339.2020776609,13339.2020776609,13339.2020776609,3,1,"Macao"
"951","Keke","M297","F","Bangui","Adulte",13339.2020776609,13339.2020776609,13339.2020776609,2,1,"Macao"
"961","Mboule","M298","M","Bangui","Adolescent",18101.5448824699,18101.5448824699,18101.5448824699,1,1,"Macao"
"991","Keke","M299","M","Djoube","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"1001","Keke","M300","F","Djoube","Adulte",13339.2020776609,13339.2020776609,13339.2020776609,1,1,"Macao"
"101","Keke","M301","M","Mboule","Adulte",31146.9309921936,31146.9309921936,31146.9309921936,10,1,"Macao"
"1021","Keke","M302","F","","",NA,-Inf,-Inf,0,0,"Macao"
"1031","Keke","M303","F","Moumbelou","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"104","Keke","M503","F","Mboule","Personne âgée",NA,-Inf,-Inf,0,0,"Macao"
"1051","Keke","M304","F","Bobate","Adulte",22243.0665349273,31146.9309921936,13339.2020776609,2,2,"Macao"
"1061","Keke","M305","M","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"107","Keke","M306","M","","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"1081","Keke","M307","F","Mafoueté","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"109","Keke","M308","M","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"110","Keke","M309","F","Bangui","Adulte",13339.2020776609,13339.2020776609,13339.2020776609,3,1,"Macao"
"111","Ngomo","M310","F","Mboule","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"1121","Ngomo","M311","F","Mboule","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"113","Ngomo","M312","M","Bangui","Adulte",NA,-Inf,-Inf,7,0,"Macao"
"114","Ngomo","M313","M","Bangui","Adulte",5041.43210744455,5041.43210744455,5041.43210744455,7,1,"Macao"
"1151","Ngomo","M314","F","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"116","Ngomo","M315","M","Mboule","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"1171","Ngomo","M316","M","Bangui","Adolescent",5041.43210744455,5041.43210744455,5041.43210744455,1,1,"Macao"
"1181","Midiba","M317","M","Bangui","Adolescent",NA,-Inf,-Inf,1,0,"Macao"
"119","Bayamoto","M318","M","Bangui","Personne âgée",6461.95992336132,6461.95992336132,6461.95992336132,2,1,"Macao"
"1201","Bayamoto","M319","F","Bangui","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"121","Bayamoto","M321","F","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"1221","Bayamoto","M322","M","Bangui","Adulte",6461.95992336132,6461.95992336132,6461.95992336132,7,1,"Macao"
"1231","Bayamoto","M323","M","Bangui","Adulte",6461.95992336132,6461.95992336132,6461.95992336132,1,1,"Macao"
"124","Bayamoto","M324","M","Bangui","Adolescent",NA,-Inf,-Inf,1,0,"Macao"
"125","Bayamoto","M325","F","Bangui","Adolescent",6461.95992336132,6461.95992336132,6461.95992336132,1,1,"Macao"
"1261","Lango","M326","F","Macao","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"1271","Lango","M327","M","Zingo","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"1281","Lango","M328","M","Zingo","Personne âgée",NA,-Inf,-Inf,3,0,"Macao"
"1291","Lango","M329","M","Macao","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"1301","Lango","M330","M","Macao","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"1311","Mbila_MA","M331","M","Bangui","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"132","Banga","M332","F","Macao","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"1331","Banga","M333","M","Seke","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"1341","Banga","M334","M","Bangui","Adulte",NA,-Inf,-Inf,9,0,"Macao"
"1351","Banga","M335","M","Seke","Adolescent",NA,-Inf,-Inf,1,0,"Macao"
"1361","Ndobalikanbo","M336","F","Macao","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"1371","Ndobalikanbo","M337","M","Macao","Adulte",NA,-Inf,-Inf,6,0,"Macao"
"138","Ndobalikanbo","M338","M","Macao","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"1391","Ndobalikanbo","M339","F","Macao","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"1401","Macao_camp1","M340","M","Thanry","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"141","Macao_camp1","M341","F","Nzingou","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"142","Macao_camp3","M342","F","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"1431","Macao_camp3","M343","F","Macao","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"1441","Macao_camp3","M344","M","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"145","Macao_camp3","M345","M","Macao","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"146","Macao_camp5","M346","M","Macao","Personne âgée",NA,-Inf,-Inf,3,0,"Macao"
"147","Macao_camp5","M347","F","Djoube","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"148","Macao_camp4","M348","M","","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"1491","Macao_camp6","M349","F","Macao","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"150","Macao_camp1","M350","F","Zingo","Personne âgée",NA,-Inf,-Inf,0,0,"Macao"
"1511","Macao_camp7","M351","F","Macao","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"152","Macao_camp7","M352","M","","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"153","Macao_camp6","M353","F","Pape_village","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"154","Macao_camp8","M354","F","Thanry","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"155","Macao_camp8","M355","M","Pape","Adolescent",NA,-Inf,-Inf,1,0,"Macao"
"156","Macao_camp2","M356","","","",NA,-Inf,-Inf,0,0,"Macao"
"157","Macao_camp9","M357","","Macao","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"1581","Macao_camp9","M359","M","Macao","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"159","Macao_camp10","M360","F","Macao","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"160","Macao_camp4","M361","F","Macao","Adolescent",NA,-Inf,-Inf,1,0,"Macao"
"161","Pape_village","M362","M","Berandjokou","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"162","Macao_camp10","M363","M","Macao","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"163","Pape_village","M364","F","Pape_village","Adolescent",NA,-Inf,-Inf,2,0,"Macao"
"164","Pape_village","M365","M","Berandjokou","Adolescent",NA,-Inf,-Inf,0,0,"Macao"
"1651","Pape_village","M366","F","Pape_village","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"1661","Pape_village","M367","M","Bangui-motaba","Personne âgée",NA,-Inf,-Inf,8,0,"Macao"
"1671","Pape_village","M368","M","Pape_village","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"168","Pape_village","M369","F","","Adolescent",NA,-Inf,-Inf,2,0,"Macao"
"169","Pape_village","M370","F","","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"170","Pape_village","M370","F","Bangui","Personne âgée",NA,-Inf,-Inf,1,0,"Macao"
"171","Pape_village","M372","M","Pape_village","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"172","Bayamoto","M400","F","Bangui","",NA,-Inf,-Inf,0,0,"Macao"
"173","Bete2","M375","","Bangui","Adolescent",NA,-Inf,-Inf,1,0,"Macao"
"174","Bete1","M374","M","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"175","Bylikombo1","MI205","M","Mossombo","Adulte",NA,-Inf,-Inf,4,0,"Minganga"
"211","Bylikombo1","MI206","F","Mossombo","Adulte",NA,-Inf,-Inf,4,0,"Minganga"
"310","Bylikombo1","MI209","F","Mossombo","Adulte",NA,-Inf,-Inf,3,0,"Minganga"
"412","Bylikombo1","MI211","F","Mossombo","Adulte",NA,-Inf,-Inf,1,0,"Minganga"
"511","Bylikombo1","MI212","M","Mossombo","Adolescent",NA,-Inf,-Inf,4,0,"Minganga"
"610","Bylikombo2","MI210","F","Mossombo","Personne âgée",NA,-Inf,-Inf,5,0,"Minganga"
"712","Bouma","MI154","M","Minganga","Adulte",14628.4506802055,14628.4506802055,14628.4506802055,2,1,"Minganga"
"812","Bouma","MI155","F","Minganga","Adulte",NA,-Inf,-Inf,4,0,"Minganga"
"1312","Bouma","MI160","M","Mossombo","Adulte",NA,-Inf,-Inf,1,0,"Minganga"
"1410","Bouma","MI161","F","Impfondo","Adulte",NA,-Inf,-Inf,3,0,"Minganga"
"1510","Bouma","MI162","F","Mossombo","Personne âgée",NA,-Inf,-Inf,5,0,"Minganga"
"201","Bouma","MI178","F","Mossombo","Adolescent",NA,-Inf,-Inf,1,0,"Minganga"
"215","Bouma","MI179","F","Mossombo","Adolescent",NA,-Inf,-Inf,0,0,"Minganga"
"225","Bouma","MI180","F","Mossombo","Adulte",NA,-Inf,-Inf,1,0,"Minganga"
"235","Bouma","MI181","M","Mossombo","Adulte",NA,-Inf,-Inf,2,0,"Minganga"
"25","Bylikombo1","MI207","M","Mossombo","Adulte",NA,-Inf,-Inf,2,0,"Minganga"
"261","Bylikombo1","MI208","F","Mossombo","Personne âgée",NA,-Inf,-Inf,1,0,"Minganga"
"351","Bylikombo2","MI216","M","Mobangui","Adulte",NA,-Inf,-Inf,4,0,"Minganga"
"402","Bylikombo2","MI226","F","Mossombo","Adulte",NA,-Inf,-Inf,3,0,"Minganga"
"413","Essesse","MI187","M","Mbili","Adulte",NA,-Inf,-Inf,4,0,"Minganga"
"422","Essesse","MI188","F","Mossombo","Adulte",NA,-Inf,-Inf,1,0,"Minganga"
"432","Essesse","MI189","F","Mossombo","Adolescent",28173.8878017831,28173.8878017831,28173.8878017831,5,1,"Minganga"
"462","Essesse","MI192","F","Toukoulaka","Adolescent",NA,-Inf,-Inf,2,0,"Minganga"
"472","Essesse","MI193","F","Mossombo","Personne âgée",NA,-Inf,-Inf,0,0,"Minganga"
"48","Essesse","MI195","M","Mbili","Adulte",NA,-Inf,-Inf,4,0,"Minganga"
"491","Essesse","MI196","F","Mbili","Adolescent",NA,-Inf,-Inf,1,0,"Minganga"
"501","Essesse","MI197","F","Mbili","Adulte",NA,-Inf,-Inf,5,0,"Minganga"
"512","Essesse","MI198","F","Mbili","Adulte",NA,-Inf,-Inf,2,0,"Minganga"
"551","Essesse","MI227","","","",NA,-Inf,-Inf,0,0,"Minganga"
"562","Mbaya","MI202","F","","Adolescent",NA,-Inf,-Inf,1,0,"Minganga"
"57","Mbaya","MI203","M","","Adolescent",NA,-Inf,-Inf,1,0,"Minganga"
"582","Mbila","MI167","F","Mbili","Personne âgée",NA,-Inf,-Inf,2,0,"Minganga"
