"","age","sex","mean_fam_visit","mean_friend_visit","mean_gather","mean_hunt","mean_explore","mean_fish","mean_dance","mean_live"
"1","Adolescent","F",0.175935025935026,0.0787316728493199,0.0744492391551215,0,0.0213759213759214,0.0693586443586443,0.121573445102857,0.126212901212901
"2","Adolescent","M",0.0610855094726062,0.0544351073762838,0.0978494623655914,0.0183428209993675,0.0922939068100359,0.0892217101894521,0.077931387608807,0.0994201981868016
"3","Adulte","F",0.163404203725604,0.0716220991666168,0.100447286985779,0,0.0241636143097555,0.0601660003388289,0.0685842092226656,0.0844002140878637
"4","Adulte","M",0.15769128027795,0.100592815537196,0.0560945925769257,0.0302489109557653,0.0734132401666062,0.070249379713254,0.0518395675012422,0.0807468261033132
"5","Personne âgée","F",0.264651824304542,0.0231125726304126,0.0881091050811398,0,0.0430364396131031,0.0518308026936155,0.0638033187213515,0.104322375194831
"6","Personne âgée","M",0.24813745924857,0.0190796857463524,0.0547325102880658,0.0252525252525253,0.107498263053819,0.0508136924803591,0.00353535353535353,0.155580941692053
