"","age","sex","median_dist_mean","median_dist_median","max_dist_mean","max_dist_median"
"1","Adolescent","F",31.3860135430117,27.7585923120676,34.285086956912,32.3096586034057
"2","Adolescent","M",26.6118513203779,17.192066569453,29.2002109905516,17.192066569453
"3","Adulte","F",29.3116103463282,23.3522033650519,35.3149532037485,24.0425825917711
"4","Adulte","M",57.6651723751296,28.1738878017831,64.9708454282702,31.9075396058015
"5","Personne âgée","F",34.6275503954435,24.636019524512,41.9116850630023,25.4958287316092
"6","Personne âgée","M",48.0461435705119,31.1204141754541,62.7584322841006,46.7775163593986
