"","age","median_dist_mean","median_dist_median","max_dist_mean","max_dist_median"
"1","Adolescent",29.7946261354671,20.869255827926,32.5901283014585,25.8236831635475
"2","Adulte",43.0738656000739,24.2420491909355,49.7093336402123,26.9863058374308
"3","Personne âgée",38.5741954469342,25.8236831635475,48.0430813045018,29.781789239708
