,residence_camp,ref,sex,birthplace,age,median_dist,max_dist,min_dist,region,places_visited,times_live,times_just_visit,times_hunt,times_friend_visit,times_dance,times_fam_visit,times_fish,times_gather
96,Kakélo6,M107,M,Bayanga,Adulte,NA,#NAME?,#NAME?,Macao,2,0,0,0,0,0,0,0,0
97,Moyimbi,M7,M,Macao,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
98,Mopendé,M33,M,Papé,Personne âgée,NA,#NAME?,#NAME?,Macao,6,0,1,0,2,0,3,0,0
99,Mopendé,M37,M,Papé,Adolescent,NA,#NAME?,#NAME?,Macao,2,0,1,0,0,0,0,0,0
100,Malomba,M55,M,Bangui,Personne âgée,NA,#NAME?,#NAME?,Macao,3,1,0,0,0,0,1,0,0
102,Atanga,M177,F,Macao,Adulte,NA,#NAME?,#NAME?,Macao,13,0,1,0,0,0,3,0,6
103,Mopendé,M39,M,Papé,Adulte,NA,#NAME?,#NAME?,Macao,2,0,0,0,1,0,0,0,1
105,Boua1,M67,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,8,0,0,0,1,0,0,5,2
106,Atanga,M171,F,Macao,Adulte,NA,#NAME?,#NAME?,Macao,14,0,0,0,1,0,3,0,3
108,Kakélo6,M159,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,6,0,0,0,2,0,1,0,1
112,Bateké2,M16,F,Moudjanda,Personne âgée,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
115,Atanga,M176,F,Thanry,Adolescent,NA,#NAME?,#NAME?,Macao,2,1,0,0,0,0,0,1,0
117,Molapa_MA,M19,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,4,0,1,0,0,0,1,0,0
118,Boua1,M62,M,Bangui,Personne âgée,NA,#NAME?,#NAME?,Macao,2,0,0,0,0,0,0,0,0
120,Boua1,M69,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,3,0,0,0,1,0,0,1,0
122,Kakélo6,M158,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,1,0,0,0,0
123,Atanga,M170,F,Macao,Personne âgée,NA,#NAME?,#NAME?,Macao,6,0,0,0,0,0,1,2,3
126,Kakélo2,M88,M,Bangui,Personne âgée,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
127,Malomba,M56,F,Macao,Personne âgée,NA,#NAME?,#NAME?,Macao,3,1,0,0,0,0,1,0,0
128,Kakélo4,M120,F,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,3,1,0,0,0,0,0,0,1
129,Boua2,M121,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,7,0,0,2,1,0,0,3,0
130,Kakélo1,M139,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,8,0,0,0,2,0,1,0,0
131,Moyimbi,M8,F,Macao,Adulte,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
133,Kakélo1,M145,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,5,0,0,0,2,0,0,1,1
134,Kakélo6,M153,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,7,0,0,0,2,0,0,1,1
135,Kakélo5,M102,F,Bangui,FALSE,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
136,Kakélo6,M104,F,Bangui,Adulte,22658.71004,22658.71004,22658.71004,Macao,12,1,0,0,0,1,0,4,4
137,Boua2,M136,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,3,0,0,0,1,0,0,1,1
139,Movossovosso,M82,F,Bangui,Personne âgée,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
140,Kakélo3,M141,F,Bangui,Personne âgée,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
143,Atanga,M175,F,Macao,FALSE,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
144,Boua2,M71,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
149,Boua2,M70,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,8,0,0,2,0,0,0,0,0
151,Molapa_MA,M18,M,Macao,Adulte,NA,#NAME?,#NAME?,Macao,6,2,0,0,1,0,2,0,0
158,Bateké2,M14,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,3,0,0,1,1,0,1,0,0
165,Kakélo3,M148,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,6,0,0,0,1,0,0,1,0
166,Kakélo1,M95,F,Bangui,Personne âgée,NA,#NAME?,#NAME?,Macao,2,2,0,0,0,0,0,0,0
167,Kakélo3,M98,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,4,0,0,0,1,0,0,0,0
1,Bonga2,M202,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,4,1,0,0,0,0,0,0,0
2,Bonga2,M203,F,Bonga2,Adulte,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
3,Bonga2,M204,F,Bonga2,Adulte,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
410,Bonga2,M205,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
510,Bonga2,M401,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
6,Bonga2,M206,F,Bonga2,Personne âgée,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,1
710,Bonga2,M207,M,Bonga2,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,1,0,0
810,Bate,M208,M,Bate,Adulte,NA,#NAME?,#NAME?,Macao,4,1,0,0,0,0,0,0,0
1010,Bonga1,M210,M,,Adulte,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
11,Bonga1,M211,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
12,Bonga1,M212,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,2,0,0,0,0,0,0,1,0
1310,Bonga1,M213,M,Bangui,Personne âgée,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
14,Bonga1,M214,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,2,0,0,0,0,0,0,1,0
20,Payo,M220,M,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
21,Payo,M221,F,,Personne âgée,NA,#NAME?,#NAME?,Macao,3,0,0,0,0,0,3,0,0
221,Payo,M222,M,,Personne âgée,NA,#NAME?,#NAME?,Macao,4,0,0,0,0,0,3,0,0
233,Payo,M223,F,,Adulte,NA,#NAME?,#NAME?,Macao,2,0,1,0,1,0,0,0,0
24,Payo,M224,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,7,0,0,0,1,0,1,0,1
26,Payo,M227,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
272,Payo,M228,F,Djoube,Adulte,NA,#NAME?,#NAME?,Macao,2,0,0,0,0,0,0,0,1
28,Payo,M229,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,4,0,1,0,0,0,1,0,0
29,Payo,M230,M,Macao,Adulte,NA,#NAME?,#NAME?,Macao,2,2,0,0,0,0,0,0,0
36,Bate,M237,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,1
371,Bate,M238,M,Bandza,Adulte,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
381,Bete3,M239,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,2,0,2,0,0,0,0,0,0
391,Bete3,M240,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
401,Bete3,M241,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,2,1,0,0,0,0,1,0,0
411,Bete1,M242,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,3,0,0,0,0,0,0,0,0
421,Bete1,M243,F,Mboule,Adulte,46182.50408,46182.50408,46182.50408,Macao,5,0,0,0,0,1,1,0,0
431,Bete1,M244,F,Bangui,Personne âgée,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
441,Bete1,M245,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,4,0,0,0,0,0,0,0,0
45,Payo,M246,M,Boua,Adulte,NA,#NAME?,#NAME?,Macao,5,0,0,0,0,0,0,0,0
461,Payo,M247,F,,Personne âgée,NA,#NAME?,#NAME?,Macao,5,0,0,0,0,0,4,0,1
471,Payo,M248,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,1,0,0
50,Bonga1,M251,,Mboule,Adulte,NA,#NAME?,#NAME?,Macao,3,0,0,0,0,0,1,0,0
51,Bete1,M252,F,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
52,Bete1,M253,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,1
531,Bete1,M254,M,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,4,0,0,0,0,0,0,0,0
54,Bete1,M255,F,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
55,Payo,M257,F,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
561,Bonga1,M258,F,Bangui,Personne âgée,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,1,0,0
581,Bonga1,M259,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
591,Bonga1,M260,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
60,Bonga1,M261,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
61,Bete2,M262,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
62,Bete2,M263,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,1,0,0
631,Bete2,M264,F,Bangui,Personne âgée,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
641,Bete2,M265,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
651,Bete2,M266,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
66,Bete2,M267,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,3,0,0,0,0,0,0,0,0
67,Bete3,M268,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,2,1,0,0,0,0,1,0,0
68,Bete2,M269,F,Bangui,Personne âgée,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
70,Mboule,M271,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,2,0,2,0,0,0,0,0,0
711,Mboule,M272,M,Mboule,Adulte,NA,#NAME?,#NAME?,Macao,7,0,1,0,0,0,1,0,0
72,Mboule,M273,F,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,2,0,0,0,0,0,2,0,0
731,Mboule,M274,M,Mboule,Adolescent,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
74,Mboule,M275,M,Bangui,Personne âgée,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
751,Mboule,M277,F,,Personne âgée,NA,#NAME?,#NAME?,Macao,4,0,2,0,0,0,1,0,0
76,Mboule,M279,F,Mboule,Adulte,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
771,Mboule,M278,M,Mboule,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,1,0,0
78,Mboule,M280,F,Mboule,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
791,Mboule,M281,F,Mboule,Adulte,NA,#NAME?,#NAME?,Macao,4,0,0,0,0,0,3,0,0
801,Mboule,M282,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,1
811,Mboule,M283,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
821,Mboule,M284,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
83,Mboule,M285,M,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,1,0,1,0,0,0,0,0,0
841,Mboule,M286,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
851,Mboule,M287,F,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,2,0,1,0,0,0,0,0,0
86,Goumakoungou2,M288,M,Mboule,Personne âgée,NA,#NAME?,#NAME?,Macao,7,0,0,0,0,0,1,0,0
87,Goumakoungou2,M373,F,Bangui,Personne âgée,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,1,0,0
881,Goumakoungou2,M289,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,4,0,0,0,0,0,0,0,1
89,Goumakoungou2,M290,F,Bangui,Personne âgée,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
901,Goumakoungou2,M291,M,Mboule,Adulte,NA,#NAME?,#NAME?,Macao,6,0,1,0,0,0,1,0,1
911,Goumakoungou2,M293,M,Bangui,,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,1
92,Goumakoungou2,M294,F,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,2,0,0,0,0,0,0,0,1
93,Goumakoungou2,M295,F,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,1,1,0,0,0,0,0,0,0
941,Keke,M296,M,Djoube,Adulte,NA,#NAME?,#NAME?,Macao,3,1,0,0,0,0,0,1,1
951,Keke,M297,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,2,0,0,0,0,0,0,1,1
961,Mboule,M298,M,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,1
991,Keke,M299,M,Djoube,Adulte,NA,#NAME?,#NAME?,Macao,2,0,2,0,0,0,0,0,0
1001,Keke,M300,F,Djoube,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,1
101,Keke,M301,M,Mboule,Adulte,NA,#NAME?,#NAME?,Macao,10,0,1,0,0,0,1,0,1
1021,Keke,M302,F,,,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
1031,Keke,M303,F,Moumbelou,Adulte,NA,#NAME?,#NAME?,Macao,3,0,0,0,0,0,1,1,0
104,Keke,M503,F,Mboule,Personne âgée,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
1051,Keke,M304,F,Bobate,Adulte,NA,#NAME?,#NAME?,Macao,2,0,0,0,0,0,0,0,2
1061,Keke,M305,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,3,0,0,0,0,0,1,0,0
107,Keke,M306,M,,Adulte,NA,#NAME?,#NAME?,Macao,2,0,0,0,0,0,1,0,0
1081,Keke,M307,F,Mafoueté,Adulte,NA,#NAME?,#NAME?,Macao,2,1,0,0,0,0,1,0,0
109,Keke,M308,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,1,0,0
110,Keke,M309,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,3,0,1,0,0,0,0,1,1
111,Ngomo,M310,F,Mboule,Personne âgée,NA,#NAME?,#NAME?,Macao,2,0,0,0,0,0,1,0,0
1121,Ngomo,M311,F,Mboule,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
113,Ngomo,M312,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,7,0,3,0,0,0,1,0,0
114,Ngomo,M313,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,7,0,0,0,0,0,0,1,1
1151,Ngomo,M314,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
116,Ngomo,M315,M,Mboule,Adolescent,NA,#NAME?,#NAME?,Macao,3,1,0,0,0,0,2,0,0
1171,Ngomo,M316,M,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,1
1181,Midiba,M317,M,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
119,Bayamoto,M318,M,Bangui,Personne âgée,NA,#NAME?,#NAME?,Macao,2,0,0,1,0,0,0,0,1
1201,Bayamoto,M319,F,Bangui,Personne âgée,NA,#NAME?,#NAME?,Macao,2,0,0,0,0,0,1,0,0
121,Bayamoto,M321,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
1221,Bayamoto,M322,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,7,0,0,0,0,0,0,0,1
1231,Bayamoto,M323,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,1
124,Bayamoto,M324,M,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
125,Bayamoto,M325,F,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,1
1261,Lango,M326,F,Macao,Adulte,NA,#NAME?,#NAME?,Macao,2,1,0,0,0,0,1,0,0
1271,Lango,M327,M,Zingo,Adulte,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
1281,Lango,M328,M,Zingo,Personne âgée,NA,#NAME?,#NAME?,Macao,3,0,1,0,0,0,0,1,0
1291,Lango,M329,M,Macao,Adulte,NA,#NAME?,#NAME?,Macao,1,1,0,0,0,0,0,0,0
1301,Lango,M330,M,Macao,Adulte,NA,#NAME?,#NAME?,Macao,2,1,1,0,0,0,0,0,0
1311,Mbila_MA,M331,M,Bangui,Personne âgée,NA,#NAME?,#NAME?,Macao,2,2,0,0,0,0,0,0,0
132,Banga,M332,F,Macao,Adulte,1641953.851,1641953.851,1641953.851,Macao,2,0,0,0,0,1,0,0,0
1331,Banga,M333,M,Seke,Adulte,NA,#NAME?,#NAME?,Macao,4,1,1,0,0,0,1,1,0
1341,Banga,M334,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,9,0,0,0,0,0,0,0,0
1351,Banga,M335,M,Seke,Adolescent,1631548.709,1631548.709,1631548.709,Macao,1,0,0,0,0,1,0,0,0
1361,Ndobalikanbo,M336,F,Macao,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
1371,Ndobalikanbo,M337,M,Macao,Adulte,NA,#NAME?,#NAME?,Macao,6,0,0,0,0,0,0,0,0
138,Ndobalikanbo,M338,M,Macao,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
1391,Ndobalikanbo,M339,F,Macao,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
1401,Macao_camp1,M340,M,Thanry,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
141,Macao_camp1,M341,F,Nzingou,Adulte,NA,#NAME?,#NAME?,Macao,1,1,0,0,0,0,0,0,0
142,Macao_camp3,M342,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,4,1,0,0,0,0,1,0,0
1431,Macao_camp3,M343,F,Macao,Adulte,NA,#NAME?,#NAME?,Macao,3,1,0,0,0,0,2,0,0
1441,Macao_camp3,M344,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,3,2,1,0,0,0,0,0,0
145,Macao_camp3,M345,M,Macao,Adolescent,NA,#NAME?,#NAME?,Macao,3,1,0,0,0,0,0,1,0
146,Macao_camp5,M346,M,Macao,Personne âgée,NA,#NAME?,#NAME?,Macao,3,1,0,0,0,0,2,0,0
147,Macao_camp5,M347,F,Djoube,Personne âgée,NA,#NAME?,#NAME?,Macao,2,1,0,0,0,0,1,0,0
148,Macao_camp4,M348,M,,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,1,0,0
1491,Macao_camp6,M349,F,Macao,Adulte,19190.62145,19190.62145,19190.62145,Macao,1,0,0,0,0,1,0,0,0
150,Macao_camp1,M350,F,Zingo,Personne âgée,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
1511,Macao_camp7,M351,F,Macao,Adulte,19103.11684,19103.11684,19103.11684,Macao,3,1,0,0,0,1,1,0,0
152,Macao_camp7,M352,M,,Adulte,NA,#NAME?,#NAME?,Macao,4,0,0,0,0,0,3,0,0
153,Macao_camp6,M353,F,Pape_village,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,1,0,0
154,Macao_camp8,M354,F,Thanry,Adulte,NA,#NAME?,#NAME?,Macao,3,2,0,0,0,0,1,0,0
155,Macao_camp8,M355,M,Pape,Adolescent,NA,#NAME?,#NAME?,Macao,1,1,0,0,0,0,0,0,0
156,Macao_camp2,M356,,,,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
157,Macao_camp9,M357,,Macao,Adulte,NA,#NAME?,#NAME?,Macao,2,1,0,0,0,0,0,0,0
