"Region","men_mean","men_median","women_mean","women_median","t_statistic","t_p_value","wilcox_statistic","wilcox_p_value","men_n","women_n"
"Macao",98216.4088518533,51220.1865592439,35255.8558743667,29413.2070071039,1.4805472273846,0.146986923255454,1166,0.00878845509888079,38,46
"Enyelle",35676.4867652747,31294.7436408112,33871.6655508196,25823.6831635475,0.409171730057947,0.683379259695366,1657,0.971067011464435,50,66
"Betou",47750.01342834,41908.8680516593,53489.7244256961,14756.3570286135,-0.215864146245915,0.830851033990669,268,0.476434360941884,25,19
"Minganga",27186.7790692834,15503.8883848124,22260.4820133153,17092.2499174174,0.810406814520689,0.420311626699857,1503.5,0.913889519274854,45,66
