"","my_ref","mother","father","spouse","sibling","sib1","sib2","sib3","sib4","sib5","sib6","sib7","sib8","sib9","sib10"
"83","D173","D177","D169","0","D170,D171,D172","D170","D171","D172","","","","","","",""
"84","D174","0","0","D157","","","","","","","","","","",""
"85","D175","D157","D174","0","D156,D176","D156","D176","","","","","","","",""
"86","D176","D157","D174","0","D156,D175","D156","D175","","","","","","","",""
"87","D177","0","0","D169","","","","","","","","","","",""
"88","D178","0","0","D182","","","","","","","","","","",""
"89","D179","0","0","0","","","","","","","","","","",""
"90","D18","D22","D23","0","D15,D16,D19,D20,D21","D15","D16","D19","D20","D21","","","","",""
"91","D180","0","0","0","","","","","","","","","","",""
"92","D181","D181","0","0","","","","","","","","","","",""
"93","D182","0","0","D178","","","","","","","","","","",""
"94","D183","D188","D191","0","D185,D186,D187","D185","D186","D187","","","","","","",""
"95","D184","0","0","0","","","","","","","","","","",""
"96","D185","D188","D191","0","D183,D186,D187","D183","D186","D187","","","","","","",""
"97","D186","D188","D191","0","D183,D185,D187","D183","D185","D187","","","","","","",""
"98","D187","D188","D191","0","D183,D185,D186","D183","D185","D186","","","","","","",""
"99","D188","0","0","D191","","","","","","","","","","",""
"100","D189","0","0","0","","","","","","","","","","",""
"101","D19","D22","D23","0","D15,D16,D18,D20,D21","D15","D16","D18","D20","D21","","","","",""
"102","D190","D189","0","0","D196","D196","","","","","","","","",""
"103","D191","D179","0","D188","","","","","","","","","","",""
"104","D192","D196","D193","0","D194,D195","D194","D195","","","","","","","",""
"105","D193","0","0","D196","","","","","","","","","","",""
"106","D194","D196","D193","0","D192,D195","D192","D195","","","","","","","",""
"107","D195","D196","D193","0","D192,D194","D192","D194","","","","","","","",""
"108","D196","D189","0","D193","D190","D190","","","","","","","","",""
"109","D197","D204","D200","0","D198,D199,D201,D202,D203","D198","D199","D201","D202","D203","","","","",""
"110","D198","D204","D200","0","D197,D199,D201,D202,D203","D197","D199","D201","D202","D203","","","","",""
"111","D199","D204","D200","0","D197,D198,D201,D202,D203","D197","D198","D201","D202","D203","","","","",""
"112","D2","D8","D10","0","D1,D3,D5,D6,D108","D1","D3","D5","D6","D108","","","","",""
"113","D20","D22","D23","0","D15,D16,D18,D19,D21","D15","D16","D18","D19","D21","","","","",""
"114","D200","0","0","D204","","","","","","","","","","",""
"115","D201","D204","D200","0","D197,D198,D199,D202,D203","D197","D198","D199","D202","D203","","","","",""
"116","D202","D204","D200","0","D197,D198,D199,D201,D203","D197","D198","D199","D201","D203","","","","",""
"117","D203","D204","D200","0","D197,D198,D199,D201,D202","D197","D198","D199","D201","D202","","","","",""
"118","D204","0","0","D200","","","","","","","","","","",""
"119","D205","0","0","D207","","","","","","","","","","",""
"120","D206","D205","D207","0","","","","","","","","","","",""
"121","D207","0","0","D205","","","","","","","","","","",""
"122","D208","D210","0","0","D209","D209","","","","","","","","",""
"123","D209","D210","0","0","D208","D208","","","","","","","","",""
"124","D21","D22","D23","0","D15,D16,D18,D19,D20","D15","D16","D18","D19","D20","","","","",""
"125","D210","0","0","0","","","","","","","","","","",""
"126","D211","D212","D213","0","","","","","","","","","","",""
"127","D212","0","0","D213","","","","","","","","","","",""
"128","D213","0","0","D212","","","","","","","","","","",""
"129","D214","0","0","D219","","","","","","","","","","",""
"130","D215","0","0","0","","","","","","","","","","",""
"131","D216","D219","D214","0","D217,D218","D217","D218","","","","","","","",""
"132","D217","D219","D214","0","D216,D218","D216","D218","","","","","","","",""
"133","D218","D219","D214","0","D216,D217","D216","D217","","","","","","","",""
"134","D219","0","0","D214","","","","","","","","","","",""
"135","D22","0","0","D23","","","","","","","","","","",""
"136","D220","0","0","D221","","","","","","","","","","",""
"137","D221","0","0","D220","","","","","","","","","","",""
"138","D222","D220","D221","0","D223,D225","D223","D225","","","","","","","",""
"139","D223","D220","D221","0","D222,D225","D222","D225","","","","","","","",""
"140","D224","0","0","0","","","","","","","","","","",""
"141","D225","D220","D221","0","D222,D223","D222","D223","","","","","","","",""
"142","D226","0","0","D228","","","","","","","","","","",""
"143","D227","D224","0","0","D229","D229","","","","","","","","",""
"144","D228","0","0","D226","","","","","","","","","","",""
"145","D229","D224","0","0","D227","D227","","","","","","","","",""
"146","D23","0","0","D22","","","","","","","","","","",""
"147","D230","D232","0","0","D231","D231","","","","","","","","",""
"148","D231","D232","0","0","D230","D230","","","","","","","","",""
"149","D232","0","0","0","","","","","","","","","","",""
"150","D233","D228","D226","0","D234","D234","","","","","","","","",""
"151","D234","D228","D226","0","D233","D233","","","","","","","","",""
"152","D235","D240","D241","0","D236,D237,D238","D236","D237","D238","","","","","","",""
"153","D236","D240","D241","0","D235,D237,D238","D235","D237","D238","","","","","","",""
"154","D237","D240","D241","0","D235,D236,D238","D235","D236","D238","","","","","","",""
"155","D238","D240","D241","0","D235,D236,D237","D235","D236","D237","","","","","","",""
"156","D239","0","0","D245","","","","","","","","","","",""
"157","D24","0","0","D17","","","","","","","","","","",""
"158","D240","0","0","D241","","","","","","","","","","",""
"159","D241","0","0","D240","","","","","","","","","","",""
"160","D242","D245","D239","0","D243,D244","D243","D244","","","","","","","",""
"161","D243","D245","D239","0","D242,D244","D242","D244","","","","","","","",""
"162","D244","D245","D239","0","D242,D243","D242","D243","","","","","","","",""
"163","D245","0","0","D239","","","","","","","","","","",""
"164","D246","D250","0","0","D247,D248,D249","D247","D248","D249","","","","","","",""
"165","D247","D250","0","0","D246,D248,D249","D246","D248","D249","","","","","","",""
"166","D248","D250","0","0","D246,D247,D249","D246","D247","D249","","","","","","",""
"167","D249","D250","0","0","D246,D247,D248","D246","D247","D248","","","","","","",""
"168","D25","D17","D24","0","D12,D13,D14,D26,D27","D12","D13","D14","D26","D27","","","","",""
"169","D250","0","0","0","","","","","","","","","","",""
"170","D251","D252","D254","0","D255,D258,D260","D255","D258","D260","","","","","","",""
"171","D252","0","0","D254","","","","","","","","","","",""
"172","D253","0","0","D257","","","","","","","","","","",""
"173","D254","0","0","D252","","","","","","","","","","",""
"174","D255","D252","D254","0","D251,D258,D260","D251","D258","D260","","","","","","",""
"175","D256","D253","D257","0","","","","","","","","","","",""
"176","D257","0","0","D253","","","","","","","","","","",""
"177","D258","D252","D254","0","D251,D255,D260","D251","D255","D260","","","","","","",""
"178","D259","0","0","D263","","","","","","","","","","",""
"179","D26","D17","D24","0","D12,D13,D14,D25,D27","D12","D13","D14","D25","D27","","","","",""
"180","D260","D252","D254","0","D251,D255,D258","D251","D255","D258","","","","","","",""
"181","D261","0","0","0","","","","","","","","","","",""
"182","D262","0","0","0","","","","","","","","","","",""
"183","D263","0","0","D259","","","","","","","","","","",""
"184","D264","0","0","0","","","","","","","","","","",""
"185","D265","0","0","D266","","","","","","","","","","",""
"186","D266","0","0","D265","","","","","","","","","","",""
"187","D267","0","0","0","","","","","","","","","","",""
"188","D268","D271","D272","0","D269,D270","D269","D270","","","","","","","",""
"189","D269","D271","D272","0","D268,D270","D268","D270","","","","","","","",""
"190","D27","D17","D24","0","D12,D13,D14,D25,D26","D12","D13","D14","D25","D26","","","","",""
"191","D270","D271","D272","0","D268,D269","D268","D269","","","","","","","",""
"192","D271","0","0","D272","","","","","","","","","","",""
"193","D272","0","0","D271","","","","","","","","","","",""
"194","D273","0","0","0","","","","","","","","","","",""
"195","D274","0","0","0","","","","","","","","","","",""
"196","D275","0","0","0","","","","","","","","","","",""
"197","D276","0","0","0","","","","","","","","","","",""
"198","D277","0","0","0","","","","","","","","","","",""
"199","D278","D283","D282","0","D281,D284","D281","D284","","","","","","","",""
"200","D279","0","0","0","","","","","","","","","","",""
"201","D28","D34","D35","0","D29,D30,D31,D32,D36,D37","D29","D30","D31","D32","D36","D37","","","",""
"202","D280","0","0","0","","","","","","","","","","",""
"203","D281","D283","D282","0","D278,D284","D278","D284","","","","","","","",""
"204","D282","0","0","D283","","","","","","","","","","",""
"205","D283","0","0","D282","","","","","","","","","","",""
"206","D284","D283","D282","0","D278,D281","D278","D281","","","","","","","",""
"207","D285","0","0","0","","","","","","","","","","",""
"208","D286","0","0","0","","","","","","","","","","",""
"209","D287","0","0","D293","","","","","","","","","","",""
"210","D288","D293","D287","0","D289,D290,D291,D294","D289","D290","D291","D294","","","","","",""
"211","D289","D293","D287","0","D288,D290,D291,D294","D288","D290","D291","D294","","","","","",""
"212","D29","D34","D35","0","D28,D30,D31,D32,D36,D37","D28","D30","D31","D32","D36","D37","","","",""
"213","D290","D293","D287","0","D288,D289,D291,D294","D288","D289","D291","D294","","","","","",""
"214","D291","D293","D287","0","D288,D289,D290,D294","D288","D289","D290","D294","","","","","",""
"215","D292","0","0","0","","","","","","","","","","",""
"216","D293","0","0","D287","","","","","","","","","","",""
"217","D294","D293","D287","0","D288,D289,D290,D291","D288","D289","D290","D291","","","","","",""
"218","D295","0","0","0","","","","","","","","","","",""
"219","D296","D295","0","0","","","","","","","","","","",""
"220","D297","D302","D305","0","D298,D299,D300,D301","D298","D299","D300","D301","","","","","",""
"221","D298","D302","D305","0","D297,D299,D300,D301","D297","D299","D300","D301","","","","","",""
"222","D299","D302","D305","0","D297,D298,D300,D301","D297","D298","D300","D301","","","","","",""
"223","D3","D8","0","0","D1,D2,D5,D6","D1","D2","D5","D6","","","","","",""
"224","D30","D34","D35","0","D28,D29,D31,D32,D36,D37","D28","D29","D31","D32","D36","D37","","","",""
"225","D300","D302","D305","0","D297,D298,D299,D301","D297","D298","D299","D301","","","","","",""
"226","D301","D302","D305","0","D297,D298,D299,D300","D297","D298","D299","D300","","","","","",""
"227","D302","0","0","D305","","","","","","","","","","",""
"228","D303","D311","0","0","D304,D307,D308,D309,D310","D304","D307","D308","D309","D310","","","","",""
"229","D304","D311","0","0","D303,D307,D308,D309,D310","D303","D307","D308","D309","D310","","","","",""
"230","D305","0","0","D302","","","","","","","","","","",""
"231","D306","0","0","0","","","","","","","","","","",""
"232","D307","D311","0","0","D303,D304,D308,D309,D310","D303","D304","D308","D309","D310","","","","",""
"233","D308","D311","0","0","D303,D304,D307,D309,D310","D303","D304","D307","D309","D310","","","","",""
"234","D309","D311","0","0","D303,D304,D307,D308,D310","D303","D304","D307","D308","D310","","","","",""
"235","D31","D34","D35","0","D28,D29,D30,D32,D36,D37","D28","D29","D30","D32","D36","D37","","","",""
"236","D310","D311","0","0","D303,D304,D307,D308,D309","D303","D304","D307","D308","D309","","","","",""
"237","D311","D317","D318","0","D312,D316","D312","D316","","","","","","","",""
"238","D312","D317","D318","0","D311,D316","D311","D316","","","","","","","",""
"239","D313","D316","D315","0","D314","D314","","","","","","","","",""
"240","D314","D316","D315","0","D313","D313","","","","","","","","",""
"241","D315","0","0","D316","","","","","","","","","","",""
"242","D316","D317","D318","D315","D311,D312","D311","D312","","","","","","","",""
"243","D317","0","0","D318","","","","","","","","","","",""
"244","D318","0","0","D317","","","","","","","","","","",""
"245","D319","D322","D324","0","D320,D321,D323","D320","D321","D323","","","","","","",""
"246","D32","D34","D35","0","D28,D29,D30,D31,D36,D37","D28","D29","D30","D31","D36","D37","","","",""
"247","D320","D322","D324","0","D319,D321,D323","D319","D321","D323","","","","","","",""
"248","D321","D322","D324","0","D319,D320,D323","D319","D320","D323","","","","","","",""
"249","D322","0","0","D324","","","","","","","","","","",""
"250","D323","D322","D324","0","D319,D320,D321","D319","D320","D321","","","","","","",""
"251","D324","0","0","D322","","","","","","","","","","",""
"252","D325","D331","0","0","D326,D327,D328,D329","D326","D327","D328","D329","","","","","",""
"253","D326","D331","0","0","D325,D327,D328,D329","D325","D327","D328","D329","","","","","",""
"254","D327","D331","0","0","D325,D326,D328,D329","D325","D326","D328","D329","","","","","",""
"255","D328","D331","0","0","D325,D326,D327,D329","D325","D326","D327","D329","","","","","",""
"256","D329","D331","0","0","D325,D326,D327,D328","D325","D326","D327","D328","","","","","",""
"257","D33","0","0","0","","","","","","","","","","",""
"258","D330","0","0","D337","","","","","","","","","","",""
"259","D331","0","0","0","","","","","","","","","","",""
"260","D332","D337","D330","0","D333,D334,D335,D338","D333","D334","D335","D338","","","","","",""
"261","D333","D337","D330","0","D332,D334,D335,D338","D332","D334","D335","D338","","","","","",""
"262","D334","D337","D330","0","D332,D333,D335,D338","D332","D333","D335","D338","","","","","",""
