,ref,sex,region,median_dist,max_dist,min_dist,places_visited,times_live,times_just_visit,times_hunt,times_friend_visit,times_bantu_work,times_dance,times_fam_visit,times_fish,times_gather
291,M18,M,Macao,25618.6686,25618.6686,25618.6686,7,2,0,0,1,2,0,2,0,0
292,M14,M,Macao,NA,#NAME?,#NAME?,4,0,0,1,1,0,0,1,0,0
293,M148,F,Macao,NA,#NAME?,#NAME?,7,0,0,0,1,0,0,0,1,0
294,M95,F,Macao,10804.336,10804.336,10804.336,3,2,0,0,0,0,0,0,0,0
295,M98,M,Macao,NA,#NAME?,#NAME?,6,0,0,0,1,0,0,0,0,0
296,M202,M,Macao,1365.6645,1365.6645,1365.6645,7,1,0,0,0,4,0,0,0,0
297,M203,F,Macao,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
298,M204,F,Macao,NA,#NAME?,#NAME?,4,0,0,0,0,3,0,0,0,0
299,M205,F,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,2,0,0,0,0
300,M401,F,Macao,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
301,M206,F,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,1,0,0,0,1
302,M207,M,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,1,0,1,0,0
303,M208,M,Macao,87923.682,87923.682,87923.682,5,1,0,0,0,3,0,0,0,0
304,M210,M,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,2,0,0,0,0
305,M211,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,3,0,0,0,0
306,M212,M,Macao,NA,#NAME?,#NAME?,9,0,0,0,0,7,0,0,2,0
307,M213,M,Macao,NA,#NAME?,#NAME?,6,0,0,0,0,5,0,0,0,0
308,M214,M,Macao,NA,#NAME?,#NAME?,8,0,0,0,0,6,0,0,1,0
309,M220,M,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,3,0,0,0,0
310,M221,F,Macao,NA,#NAME?,#NAME?,14,0,0,0,0,6,1,4,1,0
311,M222,M,Macao,NA,#NAME?,#NAME?,4,0,0,0,0,0,0,3,0,0
312,M223,F,Macao,NA,#NAME?,#NAME?,6,0,1,0,1,2,0,1,0,1
313,M224,M,Macao,NA,#NAME?,#NAME?,13,0,0,0,1,7,0,1,0,1
314,M227,F,Macao,NA,#NAME?,#NAME?,6,0,0,0,0,4,1,0,0,0
315,M228,F,Macao,NA,#NAME?,#NAME?,5,0,0,0,0,3,0,0,0,1
316,M229,M,Macao,NA,#NAME?,#NAME?,8,0,1,0,0,5,0,1,0,0
317,M230,M,Macao,46141.2218,46141.2218,46141.2218,7,2,1,0,0,3,0,0,0,0
318,M237,F,Macao,NA,#NAME?,#NAME?,4,0,0,0,0,2,0,0,0,1
319,M238,M,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,2,0,0,0,0
320,M239,M,Macao,NA,#NAME?,#NAME?,9,0,3,0,0,1,1,1,0,0
321,M240,F,Macao,NA,#NAME?,#NAME?,4,0,0,0,0,4,0,0,0,0
322,M241,F,Macao,1418.6109,1418.6109,1418.6109,2,1,0,0,0,0,0,1,0,0
323,M242,M,Macao,NA,#NAME?,#NAME?,8,0,0,0,0,4,0,0,0,0
324,M243,F,Macao,NA,#NAME?,#NAME?,5,0,0,0,0,0,1,1,0,0
325,M244,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,3,0,0,0,0
326,M245,M,Macao,NA,#NAME?,#NAME?,10,0,0,0,0,1,0,0,0,0
327,M246,M,Macao,NA,#NAME?,#NAME?,9,0,0,0,0,3,0,1,0,0
328,M247,F,Macao,NA,#NAME?,#NAME?,9,0,0,0,0,2,0,5,0,1
329,M248,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,2,0,1,0,0
331,M252,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,3,0,0,0,0
332,M253,F,Macao,NA,#NAME?,#NAME?,6,0,0,0,0,2,1,0,0,1
333,M254,M,Macao,NA,#NAME?,#NAME?,6,0,0,0,0,2,0,0,0,0
334,M255,F,Macao,NA,#NAME?,#NAME?,4,0,0,0,0,4,0,0,0,0
335,M257,F,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,2,0,0,0,0
336,M258,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,2,0,1,0,0
337,M259,F,Macao,NA,#NAME?,#NAME?,4,0,0,0,0,1,0,0,0,0
338,M260,F,Macao,NA,#NAME?,#NAME?,7,0,0,0,0,5,0,1,0,0
339,M261,F,Macao,NA,#NAME?,#NAME?,4,0,0,0,0,2,0,1,0,0
340,M262,F,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,0,0,0
341,M263,F,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,1,0,1,0,0
342,M264,F,Macao,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,0,0
343,M265,M,Macao,NA,#NAME?,#NAME?,14,0,0,0,0,4,0,0,0,0
344,M266,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,2,0,1,0,0
345,M267,M,Macao,NA,#NAME?,#NAME?,6,0,0,0,0,5,0,0,0,0
346,M268,F,Macao,1418.6109,1418.6109,1418.6109,3,1,0,0,0,1,0,1,0,0
347,M269,F,Macao,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
348,M271,M,Macao,NA,#NAME?,#NAME?,3,0,2,0,0,1,0,0,0,0
349,M272,M,Macao,NA,#NAME?,#NAME?,13,0,1,0,0,6,0,1,0,0
350,M273,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,2,0,0
351,M274,M,Macao,NA,#NAME?,#NAME?,4,0,0,0,0,3,0,0,0,0
352,M275,M,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,2,0,0,0,0
353,M277,F,Macao,127584.265,127584.265,127584.265,11,1,3,0,0,1,0,1,0,0
354,M279,F,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,2,0,0,0,0
355,M278,M,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,1,0,1,0,0
356,M280,F,Macao,NA,#NAME?,#NAME?,4,0,0,0,0,3,0,0,0,0
357,M281,F,Macao,NA,#NAME?,#NAME?,6,0,0,0,0,2,0,3,0,0
358,M282,M,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,0,0,1
359,M283,F,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,1,0,0,0,0
360,M284,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,2,0,0,0,0
361,M285,M,Macao,NA,#NAME?,#NAME?,4,0,1,0,0,2,0,0,0,0
362,M286,F,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,2,0,0,0,0
363,M287,F,Macao,NA,#NAME?,#NAME?,3,0,1,0,0,1,0,0,0,0
364,M288,M,Macao,NA,#NAME?,#NAME?,10,0,0,0,0,3,0,1,0,0
365,M373,F,Macao,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,1,0,0
366,M289,F,Macao,NA,#NAME?,#NAME?,4,0,0,0,0,0,0,0,0,1
367,M290,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,2,0,0,0,0
368,M291,M,Macao,NA,#NAME?,#NAME?,8,0,1,0,0,0,0,1,0,1
370,M294,F,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,0,0,1
371,M295,F,Macao,7603.19023,7603.19023,7603.19023,2,1,0,0,0,1,0,0,0,0
372,M296,M,Macao,73474.4782,73474.4782,73474.4782,10,1,0,0,0,3,0,0,1,1
373,M297,F,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,0,1,1
374,M298,M,Macao,NA,#NAME?,#NAME?,5,0,0,0,0,3,0,0,0,1
375,M299,M,Macao,NA,#NAME?,#NAME?,7,0,6,0,0,1,0,0,0,0
376,M300,F,Macao,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,0,1
377,M301,M,Macao,NA,#NAME?,#NAME?,10,0,1,0,0,1,0,1,0,1
379,M303,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,1,1,0
380,M503,F,Macao,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
381,M304,F,Macao,NA,#NAME?,#NAME?,4,0,0,0,0,2,0,0,0,2
382,M305,M,Macao,NA,#NAME?,#NAME?,6,0,0,0,0,2,0,3,0,0
383,M306,M,Macao,NA,#NAME?,#NAME?,10,0,0,0,0,4,0,1,0,0
384,M307,F,Macao,31564.1087,31564.1087,31564.1087,3,1,0,0,0,0,0,2,0,0
385,M308,M,Macao,NA,#NAME?,#NAME?,5,0,0,0,0,2,1,1,0,0
386,M309,F,Macao,NA,#NAME?,#NAME?,4,0,1,0,0,0,0,1,1,1
387,M310,F,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,1,0,0
388,M311,F,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,1,0,0,0,0
389,M312,M,Macao,NA,#NAME?,#NAME?,20,0,3,0,0,10,0,1,0,0
390,M313,M,Macao,NA,#NAME?,#NAME?,11,0,0,0,0,4,0,0,1,1
391,M314,F,Macao,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,0,0
392,M315,M,Macao,22832.1103,22832.1103,22832.1103,6,1,0,0,0,2,0,3,0,0
393,M316,M,Macao,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,0,1
394,M317,M,Macao,NA,#NAME?,#NAME?,4,0,0,0,0,3,0,0,0,0
395,M318,M,Macao,NA,#NAME?,#NAME?,11,0,0,1,0,6,0,0,0,1
396,M319,F,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,1,0,0
397,M321,F,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,1,0,0,0,0
398,M322,M,Macao,NA,#NAME?,#NAME?,10,0,0,0,0,8,0,0,0,1
399,M323,M,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,2,0,0,0,1
400,M324,M,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,2,0,0,0,0
401,M325,F,Macao,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,0,1
402,M326,F,Macao,28829.487,28829.487,28829.487,2,1,0,0,0,0,0,1,0,0
403,M327,M,Macao,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
404,M328,M,Macao,NA,#NAME?,#NAME?,26,0,4,0,0,11,2,2,1,0
405,M329,M,Macao,28829.487,28829.487,28829.487,4,1,0,0,0,1,0,0,0,0
406,M330,M,Macao,28829.487,28829.487,28829.487,8,1,5,0,0,0,0,0,0,0
407,M331,M,Macao,23804.1628,28808.9603,18799.3653,2,2,0,0,0,0,0,0,0,0
408,M332,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,1,1,0,0,0
409,M333,M,Macao,1651619.14,1651619.14,1651619.14,13,1,2,0,0,3,0,2,1,0
410,M334,M,Macao,NA,#NAME?,#NAME?,10,0,0,0,0,7,0,0,0,0
411,M335,M,Macao,NA,#NAME?,#NAME?,4,0,0,0,0,1,1,1,0,0
412,M336,F,Macao,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,0,0
413,M337,M,Macao,NA,#NAME?,#NAME?,9,0,0,0,0,4,0,0,0,0
414,M338,M,Macao,NA,#NAME?,#NAME?,5,0,0,0,0,3,1,0,0,0
415,M339,F,Macao,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,0,0
416,M340,M,Macao,NA,#NAME?,#NAME?,5,0,1,0,0,1,0,1,0,0
417,M341,F,Macao,19137.7927,19137.7927,19137.7927,2,1,0,0,0,1,0,0,0,0
418,M342,F,Macao,27896.0474,27896.0474,27896.0474,4,1,0,0,0,0,0,1,0,0
419,M343,F,Macao,27896.0474,27896.0474,27896.0474,3,1,0,0,0,0,0,2,0,0
420,M344,M,Macao,23803.5961,27896.0474,19711.1448,6,2,1,0,0,1,0,0,0,0
421,M345,M,Macao,27896.0474,27896.0474,27896.0474,7,1,0,0,0,0,0,0,1,0
422,M346,M,Macao,27954.486,27954.486,27954.486,9,1,0,0,0,0,0,5,0,0
423,M347,F,Macao,27954.486,27954.486,27954.486,2,1,0,0,0,0,0,1,0,0
424,M348,M,Macao,NA,#NAME?,#NAME?,6,0,0,0,0,1,0,5,0,0
425,M349,F,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,0,1,0,0,0
426,M350,F,Macao,NA,#NAME?,#NAME?,1,0,0,0,0,1,0,0,0,0
427,M351,F,Macao,28507.1707,28507.1707,28507.1707,3,1,0,0,0,0,1,1,0,0
428,M352,M,Macao,NA,#NAME?,#NAME?,15,0,0,0,0,10,0,4,0,0
429,M353,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,3,0,0
430,M354,F,Macao,28575.2459,28575.2459,28575.2459,3,2,0,0,0,0,0,1,0,0
431,M355,M,Macao,28575.2459,28575.2459,28575.2459,2,1,0,0,0,0,0,1,0,0
434,M359,M,Macao,28506.7771,28506.7771,28506.7771,6,1,0,0,0,2,1,0,0,0
435,M360,F,Macao,27783.0723,27783.0723,27783.0723,2,1,0,0,0,0,0,1,0,0
436,M361,F,Macao,27877.0564,27877.0564,27877.0564,1,1,0,0,0,0,0,0,0,0
437,M362,M,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,1,0,0,0,0
438,M363,M,Macao,27783.0723,27783.0723,27783.0723,2,1,0,0,0,0,0,1,0,0
439,M364,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,1,0,1,0,0
440,M365,M,Macao,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,0,0
441,M366,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,3,0,0
442,M367,M,Macao,1383.54886,1383.54886,1383.54886,14,1,3,0,0,1,0,2,1,0
443,M368,M,Macao,NA,#NAME?,#NAME?,4,0,0,0,0,0,0,2,0,0
444,M369,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,2,0,0
445,M370,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,1,1,1,0,0
446,M370,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,2,0,1,0,0
447,M372,M,Macao,NA,#NAME?,#NAME?,9,0,0,0,0,4,0,2,0,0
450,M374,M,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,2,0,0,0,0
451,MI205,M,Minganga,NA,#NAME?,#NAME?,8,0,1,0,0,2,2,1,1,0
452,MI206,F,Minganga,NA,#NAME?,#NAME?,5,0,0,0,0,0,3,0,1,0
453,MI209,F,Minganga,NA,#NAME?,#NAME?,6,0,0,0,0,0,1,2,1,0
454,MI211,F,Minganga,NA,#NAME?,#NAME?,6,0,0,0,0,1,1,0,1,0
455,MI212,M,Minganga,NA,#NAME?,#NAME?,8,0,1,1,0,1,0,0,1,0
456,MI210,F,Minganga,1241.30171,1241.30171,1241.30171,5,1,0,0,0,0,0,2,1,0
457,MI154,M,Minganga,NA,#NAME?,#NAME?,5,0,0,0,0,0,0,1,0,1
458,MI155,F,Minganga,NA,#NAME?,#NAME?,6,0,0,0,0,1,0,1,0,0
459,MI160,M,Minganga,NA,#NAME?,#NAME?,11,0,0,0,0,3,1,4,0,0
460,MI161,F,Minganga,NA,#NAME?,#NAME?,7,0,0,0,0,1,0,2,0,0
461,MI162,F,Minganga,14628.4507,14628.4507,14628.4507,10,1,0,0,0,1,0,6,0,0
462,MI178,F,Minganga,NA,#NAME?,#NAME?,4,0,0,0,0,0,0,2,0,0
463,MI179,F,Minganga,NA,#NAME?,#NAME?,6,0,0,0,0,0,0,0,0,0
464,MI180,F,Minganga,91856.4107,91856.4107,91856.4107,6,1,0,0,0,0,0,1,0,0
465,MI181,M,Minganga,NA,#NAME?,#NAME?,8,0,0,0,0,1,0,3,0,0
466,MI207,M,Minganga,NA,#NAME?,#NAME?,9,0,0,0,0,2,1,1,1,0
467,MI208,F,Minganga,NA,#NAME?,#NAME?,6,0,0,0,0,0,0,4,1,0
468,MI216,M,Minganga,NA,#NAME?,#NAME?,11,0,0,0,0,2,0,8,1,0
469,MI226,F,Minganga,NA,#NAME?,#NAME?,9,0,0,0,0,1,0,8,1,0
470,MI187,M,Minganga,14858.308,14858.308,14858.308,8,1,2,0,0,2,0,1,0,0
471,MI188,F,Minganga,NA,#NAME?,#NAME?,4,0,0,0,0,1,0,2,0,0
472,MI189,F,Minganga,14858.308,14858.308,14858.308,6,1,0,0,0,0,1,1,0,1
473,MI192,F,Minganga,NA,#NAME?,#NAME?,4,0,0,0,0,1,1,0,1,0
474,MI193,F,Minganga,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
475,MI195,M,Minganga,NA,#NAME?,#NAME?,5,0,0,0,0,1,2,1,0,0
476,MI196,F,Minganga,NA,#NAME?,#NAME?,6,0,0,0,0,3,0,0,0,0
477,MI197,F,Minganga,NA,#NAME?,#NAME?,10,0,0,0,1,0,0,0,0,0
478,MI198,F,Minganga,38073.2911,61288.2741,14858.308,9,2,0,0,1,0,1,4,0,0
480,MI202,F,Minganga,NA,#NAME?,#NAME?,5,0,0,0,0,0,1,2,1,0
481,MI203,M,Minganga,NA,#NAME?,#NAME?,5,0,0,0,0,1,2,0,1,0
482,MI167,F,Minganga,NA,#NAME?,#NAME?,6,0,0,0,0,0,0,3,0,0
483,MI168,M,Minganga,NA,#NAME?,#NAME?,7,0,0,0,0,3,0,1,0,0
484,MI169,F,Minganga,NA,#NAME?,#NAME?,5,0,0,0,0,0,0,1,0,0
485,MI175,M,Minganga,NA,#NAME?,#NAME?,13,0,0,0,0,1,6,2,0,0
486,MI176,F,Minganga,NA,#NAME?,#NAME?,6,0,0,0,0,0,0,4,0,0
487,MI177,M,Minganga,NA,#NAME?,#NAME?,7,0,2,0,0,0,0,4,0,1
488,MI145,M,Minganga,NA,#NAME?,#NAME?,5,0,0,0,0,0,0,0,1,0
489,MI146,F,Minganga,NA,#NAME?,#NAME?,3,0,0,0,0,1,0,1,1,0
490,MI149,M,Minganga,NA,#NAME?,#NAME?,6,0,4,0,0,0,0,0,1,0
491,MI150,M,Minganga,NA,#NAME?,#NAME?,5,0,0,0,0,3,1,0,0,0
492,MI151,F,Minganga,NA,#NAME?,#NAME?,5,0,0,0,0,1,1,0,1,0
493,MI134,M,Minganga,NA,#NAME?,#NAME?,6,0,0,0,0,0,0,2,1,0
494,MI136,F,Minganga,NA,#NAME?,#NAME?,5,0,0,0,0,0,0,1,0,0
495,MI137,F,Minganga,NA,#NAME?,#NAME?,5,0,0,0,0,0,1,1,0,0
496,MI138,M,Minganga,NA,#NAME?,#NAME?,6,0,1,0,0,0,0,0,1,0
497,MI143,M,Minganga,NA,#NAME?,#NAME?,6,0,0,0,0,1,1,1,1,0
498,MI144,M,Minganga,NA,#NAME?,#NAME?,7,0,0,0,0,3,0,0,1,0
500,MI183,F,Minganga,36649.0095,36649.0095,36649.0095,6,1,0,0,0,2,0,1,0,0
501,MI184,M,Minganga,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
502,MI185,M,Minganga,14532.8917,14532.8917,14532.8917,10,1,4,0,0,0,0,3,1,0
503,MI10,M,Minganga,NA,#NAME?,#NAME?,23,0,1,0,0,1,2,2,1,0
504,MI105,F,Minganga,16531.6898,21239.8848,11823.4948,5,2,0,0,0,0,0,1,1,0
505,MI106,F,Minganga,NA,#NAME?,#NAME?,19,0,0,0,0,0,0,4,5,10
506,MI107,M,Minganga,NA,#NAME?,#NAME?,16,0,0,0,3,0,1,2,1,0
507,MI109,M,Minganga,NA,#NAME?,#NAME?,19,0,0,1,1,1,1,0,5,0
508,MI11,F,Minganga,12846.5461,26187.7318,6369.2079,16,3,0,0,0,3,0,2,0,0
509,MI110,F,Minganga,NA,#NAME?,#NAME?,18,0,0,0,2,0,0,1,2,5
510,MI113,M,Minganga,NA,#NAME?,#NAME?,19,0,0,1,4,1,1,3,4,0
511,MI114,M,Minganga,NA,#NAME?,#NAME?,19,0,0,1,0,1,1,1,5,2
512,MI115,F,Minganga,NA,#NAME?,#NAME?,19,0,0,0,0,2,0,2,1,7
513,MI116,F,Minganga,NA,#NAME?,#NAME?,18,0,0,0,0,2,0,1,6,3
514,MI117,F,Minganga,NA,#NAME?,#NAME?,18,0,0,0,0,0,0,1,4,4
515,MI12,F,Minganga,NA,#NAME?,#NAME?,19,0,0,0,0,0,0,6,0,0
516,MI122,F,Minganga,NA,#NAME?,#NAME?,19,0,0,0,0,1,0,1,4,5
517,MI123,M,Minganga,NA,#NAME?,#NAME?,27,0,1,2,5,2,1,4,4,3
518,MI125,M,Minganga,NA,#NAME?,#NAME?,19,0,0,0,0,1,0,1,1,8
519,MI126,M,Minganga,NA,#NAME?,#NAME?,19,0,0,0,0,0,0,1,7,2
520,MI127,M,Minganga,NA,#NAME?,#NAME?,20,0,0,0,3,1,2,4,1,7
521,MI128,F,Minganga,NA,#NAME?,#NAME?,19,0,0,0,0,1,0,2,1,8
522,MI129,F,Minganga,NA,#NAME?,#NAME?,18,0,0,0,0,1,0,2,1,8
523,MI13,F,Minganga,NA,#NAME?,#NAME?,12,0,0,0,0,1,0,2,0,0
524,MI133,F,Minganga,NA,#NAME?,#NAME?,22,0,0,0,0,4,0,1,1,8
525,MI15,F,Minganga,NA,#NAME?,#NAME?,13,0,0,0,0,0,0,2,0,0
526,MI17,M,Minganga,NA,#NAME?,#NAME?,27,1,1,0,0,1,1,4,4,0
527,MI18,F,Minganga,NA,#NAME?,#NAME?,19,0,0,0,0,0,0,1,2,0
528,MI19,M,Minganga,NA,#NAME?,#NAME?,18,1,0,0,0,0,0,0,0,0
529,MI20,F,Minganga,NA,#NAME?,#NAME?,11,0,0,0,0,0,0,1,1,0
530,MI21,F,Minganga,NA,#NAME?,#NAME?,17,1,0,0,0,0,1,3,4,2
531,MI22,M,Minganga,NA,#NAME?,#NAME?,20,0,0,0,0,1,1,0,1,0
532,MI25,M,Minganga,NA,#NAME?,#NAME?,14,1,2,2,0,1,0,0,2,0
533,MI26,F,Minganga,NA,#NAME?,#NAME?,12,0,0,0,0,1,0,2,3,0
534,MI27,F,Minganga,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
535,MI28,F,Minganga,NA,#NAME?,#NAME?,14,1,0,0,2,0,0,6,0,0
536,MI29,M,Minganga,NA,#NAME?,#NAME?,14,1,0,0,0,4,1,3,1,0
537,MI3,F,Minganga,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
538,MI30,M,Minganga,NA,#NAME?,#NAME?,21,1,0,2,1,2,0,0,0,0
539,MI31,F,Minganga,NA,#NAME?,#NAME?,19,1,0,0,0,1,1,3,1,2
540,MI32,M,Minganga,NA,#NAME?,#NAME?,6,1,2,0,0,1,0,0,0,0
541,MI34,M,Minganga,NA,#NAME?,#NAME?,22,1,0,2,1,3,0,0,0,0
542,MI38,F,Minganga,NA,#NAME?,#NAME?,21,1,0,0,0,0,0,1,2,0
543,MI39,M,Minganga,NA,#NAME?,#NAME?,21,1,0,0,0,0,0,0,3,0
544,MI41,M,Minganga,NA,#NAME?,#NAME?,25,1,0,0,0,4,1,2,2,4
545,MI42,F,Minganga,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
546,MI43,F,Minganga,NA,#NAME?,#NAME?,19,1,1,0,0,0,0,2,0,3
547,MI44,F,Minganga,12267.2824,12267.2824,12267.2824,21,2,0,0,0,1,0,1,2,0
548,MI45,M,Minganga,NA,#NAME?,#NAME?,21,1,0,0,0,1,0,0,3,4
549,MI47,M,Minganga,NA,#NAME?,#NAME?,21,1,0,0,0,2,0,1,3,5
550,MI48,F,Minganga,NA,#NAME?,#NAME?,19,1,0,0,0,1,0,1,1,1
551,MI49,F,Minganga,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,0,0
552,MI50,M,Minganga,NA,#NAME?,#NAME?,19,1,3,0,0,2,0,2,0,4
553,MI53,F,Minganga,NA,#NAME?,#NAME?,23,1,2,0,1,1,0,3,0,3
554,MI55,M,Minganga,NA,#NAME?,#NAME?,21,1,4,0,0,1,0,1,0,4
555,MI57,F,Minganga,NA,#NAME?,#NAME?,17,1,2,0,1,0,0,0,0,9
556,MI58,M,Minganga,NA,#NAME?,#NAME?,13,1,1,0,0,2,0,0,0,5
557,MI6,F,Minganga,NA,#NAME?,#NAME?,14,1,0,0,0,0,1,1,0,0
558,MI62,F,Minganga,NA,#NAME?,#NAME?,21,1,2,0,0,0,0,1,3,5
559,MI63,M,Minganga,NA,#NAME?,#NAME?,19,1,3,0,0,0,0,2,0,1
560,MI67,F,Minganga,NA,#NAME?,#NAME?,23,1,4,0,1,0,0,3,4,2
561,MI68,F,Minganga,NA,#NAME?,#NAME?,14,0,0,0,5,1,1,0,1,1
562,MI7,M,Minganga,NA,#NAME?,#NAME?,14,1,0,0,0,3,0,3,0,2
563,MI70,M,Minganga,NA,#NAME?,#NAME?,19,0,0,0,2,1,0,1,2,0
564,MI71,F,Minganga,NA,#NAME?,#NAME?,19,0,0,0,1,1,0,1,2,0
565,MI76,M,Minganga,NA,#NAME?,#NAME?,13,0,0,0,0,1,0,1,0,0
566,MI77,F,Minganga,NA,#NAME?,#NAME?,13,0,0,0,0,1,0,4,0,0
567,MI78,F,Minganga,NA,#NAME?,#NAME?,13,0,0,0,0,2,2,0,0,0
568,MI8,F,Minganga,NA,#NAME?,#NAME?,10,0,0,0,0,0,0,2,0,0
569,MI81,M,Minganga,NA,#NAME?,#NAME?,12,0,0,0,2,0,2,2,0,0
570,MI86,F,Minganga,NA,#NAME?,#NAME?,16,0,0,0,0,1,1,2,1,2
571,MI88,M,Minganga,NA,#NAME?,#NAME?,21,0,0,0,1,1,0,3,0,0
572,MI90,M,Minganga,NA,#NAME?,#NAME?,12,0,0,0,3,3,0,1,1,2
573,MI92,F,Minganga,NA,#NAME?,#NAME?,18,0,0,0,2,1,0,0,0,0
574,MI96,M,Minganga,NA,#NAME?,#NAME?,18,0,0,0,1,2,0,0,6,0
575,MI98,M,Minganga,NA,#NAME?,#NAME?,24,0,0,1,2,3,0,1,7,5
576,MI99,F,Minganga,NA,#NAME?,#NAME?,12,0,1,0,1,2,1,0,4,0
577,E102,F,Enyelle,58938.519,58938.519,58938.519,5,1,0,0,0,1,0,0,0,1
578,E104,M,Enyelle,NA,#NAME?,#NAME?,8,0,0,0,1,2,0,4,0,0
579,E105,F,Enyelle,NA,#NAME?,#NAME?,7,0,0,0,3,1,0,0,0,0
580,E106,F,Enyelle,NA,#NAME?,#NAME?,4,0,0,0,0,0,3,0,0,0
581,E107,M,Enyelle,NA,#NAME?,#NAME?,3,0,0,0,1,0,2,0,0,0
582,E108,F,Enyelle,NA,#NAME?,#NAME?,6,0,0,0,0,0,2,2,1,0
583,E11,M,Enyelle,NA,#NAME?,#NAME?,7,1,0,0,0,2,2,0,1,0
584,E110,M,Enyelle,NA,#NAME?,#NAME?,8,0,0,0,0,2,2,3,0,0
585,E111,M,Enyelle,NA,#NAME?,#NAME?,10,0,0,0,1,2,2,0,0,0
586,E114,M,Enyelle,NA,#NAME?,#NAME?,28,0,1,7,1,3,0,11,0,1
587,E115,F,Enyelle,NA,#NAME?,#NAME?,15,0,0,0,3,2,3,5,0,0
588,E121,F,Enyelle,79839.8454,79839.8454,79839.8454,10,1,0,0,0,1,5,2,0,1
589,E123,F,Enyelle,NA,#NAME?,#NAME?,7,0,0,0,0,1,3,2,0,0
590,E124,F,Enyelle,NA,#NAME?,#NAME?,8,0,0,0,0,1,3,2,0,0
591,E125,F,Enyelle,NA,#NAME?,#NAME?,5,0,0,0,1,0,3,1,0,0
592,E127,F,Enyelle,79839.8454,79839.8454,79839.8454,14,1,0,0,3,0,3,5,0,1
593,E129,M,Enyelle,NA,#NAME?,#NAME?,16,0,0,0,0,5,2,3,0,0
