,X,residence_camp,ref,sex,birthplace,age,children_alive,median_dist,max_dist,region,Lieu.de.naissance.de.leur.mère.coded,Lieu.de.naissance.de.leur.père.coded,Lieu.où.leur.mère.habite.coded,Lieu.où.leur.père.habite.coded,spouse_bp,mom_inlaw_bp,dad_inlaw_bp,dad_inlaw_living,mom_inlaw_living,spouse_myref,dist_bp_mom_bp,dist_living_mom_bp,dist_bp_dad_bp,dist_living_dad_bp,dist_living_own_bp,dist_living_mum_living,dist_living_dad_living,dist_bp_spouse_bp,dist_living_spouse_bp,dist_living_mum_inlaw_living,dist_living_dad_inlaw_living,dist_bp_mom_inlaw_bp,dist_living_mom_inlaw_bp,dist_bp_dad_inlaw_bp,dist_living_dad_inlaw_bp,camp_region.x,loc.x,people_number_2022.x,set_type
228,465,Moyimbi,M5,F,Mobongo,Adulte,2,806870.6747,808211.3491,Macao,Macao,Dongou,,,,,,,,0,806870.6747,35003.78557,811301.9698,108418.047,805697.6789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,11,forest_camp
229,466,Bakouengue,M26,F,Macao,Adulte,4,24887.70657,198293.1717,Macao,Macao,Macao,,,,,,,,0,0,24156.74459,0,24156.74459,24156.74459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,10,forest_camp
230,467,Kakelo6,M154,F,Bangui,Adulte,,11509.74892,90648.67513,Macao,Bangui,Bangui,,,Bangui,Bandza,Bangui,,,M153,0,11840.29787,0,11840.29787,11840.29787,NA,NA,0,11840.29787,NA,NA,50689.76183,40988.81813,0,11840.29787,C,F,30,forest_camp
231,468,Movossovosso,M81,M,Dongou,Personne âgee,,95025.59517,143421.7034,Macao,Mimpoutou,,,,,,,,,0,123421.9947,63991.82762,NA,NA,94832.2103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,2,forest_camp
232,469,Boua1,M93,M,Bangui,Adolescent,,10742.06965,11840.29787,Macao,Bangui,Macao,Boua1,,,,,,,0,0,1752.499874,47606.64384,48740.72248,1752.499874,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,17,forest_camp
233,471,Boua2,M127,F,Bangui,Adulte,,11105.41551,47606.64384,Macao,Bangui,Bangui,,,Bangui,Bangui,Bangui,,,M126,0,1874.172756,0,1874.172756,1874.172756,NA,NA,0,1874.172756,NA,NA,0,1874.172756,0,1874.172756,C,F,25,forest_camp
234,472,Kakelo4,M116,F,Bangui,Adulte,4,11509.74892,47606.64384,Macao,Bangui,Bangui,,,,,,,,0,0,11509.74892,0,11509.74892,11509.74892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,30,forest_camp
235,474,Kakelo1,M96,M,Bangui,Adulte,,51028.18654,162268.2931,Macao,Bangui,Mbanza,,,Bangui,Bangui,Bangui,,,M97,0,10804.33597,460256.8956,449454.3457,10804.33597,NA,NA,0,10804.33597,NA,NA,0,10804.33597,0,10804.33597,C,F,NA,forest_camp
236,478,Pape,M49,F,Pape,Adolescent,,22565.00499,34925.81575,Macao,Pape,Bai,,,,,,,,0,0,0,66476.5447,66476.5447,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,12,forest_camp
237,481,Kakelo3,M140,M,Bangui,Adulte,,59194.93584,162268.2931,Macao,Mboule,Mombelou,,,Bangui,Bangui,Bangui,,,M148,620.9829719,11709.93852,NA,NA,11105.41551,NA,NA,0,11105.41551,NA,NA,0,11105.41551,0,11105.41551,C,F,11,forest_camp
238,483,Kakelo6,M103,M,Bangui,Adulte,2,29942.35989,145508.9765,Macao,Bangui,Bangui,,,Bangui,Bangui,Bangui,,,M104,0,11840.29787,0,11840.29787,11840.29787,NA,NA,0,11840.29787,NA,NA,0,11840.29787,0,11840.29787,C,F,30,forest_camp
