ref,sex,birthplace,region,median_dist,max_dist,min_dist,places_visited,times_live,times_just_visit,times_hunt,times_friend_visit,times_bantu_work,times_dance,times_fam_visit,times_fish,times_gather
D219,F,NA,Dongou,NA,NA,NA,1,0,0,0,0,0,0,1,0,0
D22,F,Boucy-boucy,Dongou,NA,NA,NA,3,0,0,0,0,0,0,3,0,0
D220,F,Boucy-boucy,Dongou,36226.8389,36226.8389,36226.8389,2,1,0,0,0,0,1,0,0,0
D221,M,Djoumbel,Dongou,NA,NA,NA,4,0,0,2,0,0,0,1,0,0
D224,F,Boucy-boucy,Dongou,NA,NA,NA,3,0,0,0,0,0,0,2,0,0
D226,M,Bangui,Dongou,NA,NA,NA,5,0,0,0,0,3,0,1,0,0
D228,F,Boucy-boucy,Dongou,NA,NA,NA,4,0,0,0,0,0,0,2,0,0
D23,M,Boucy-boucy,Dongou,NA,NA,NA,3,0,0,0,0,0,0,2,0,0
D232,F,Boucy-boucy,Dongou,73789.2882,73789.2882,73789.2882,3,1,0,0,0,0,0,0,0,0
D239,M,Manfouet,Dongou,NA,NA,NA,2,0,0,0,0,1,0,0,0,0
D24,M,Botanga,Dongou,NA,NA,NA,2,0,0,0,0,0,0,0,0,0
D240,F,Boucy-boucy,Dongou,NA,NA,NA,2,0,0,0,0,0,0,0,0,0
D241,M,Boucy-boucy,Dongou,NA,NA,NA,8,0,0,0,0,4,0,3,0,0
D245,F,Bongoye,Dongou,NA,NA,NA,2,0,1,0,0,0,0,1,0,0
D248,M,Boucy-boucy,Dongou,24120.0273,24120.0273,24120.0273,3,1,0,0,0,1,0,0,0,0
D25,M,Maoangouma,Dongou,NA,NA,NA,2,0,0,0,0,0,0,0,0,0
D250,F,Boucy-boucy,Dongou,9822.11869,9822.11869,9822.11869,2,1,1,0,0,0,0,0,0,0
D252,F,Boucy-boucy,Dongou,NA,NA,NA,2,0,1,0,0,0,0,1,0,0
D253,F,Mafouete,Dongou,5306.46286,5306.46286,5306.46286,2,1,0,0,0,0,0,0,0,0
D254,M,NA,Dongou,NA,NA,NA,2,0,1,0,0,1,0,0,0,0
D257,M,NA,Dongou,NA,NA,NA,2,0,0,0,0,0,0,0,0,0
D258,F,Manfouet,Dongou,NA,NA,NA,3,0,2,0,0,0,0,0,0,0
D259,M,Motaba,Dongou,NA,NA,NA,3,0,0,0,0,0,0,0,0,0
D260,F,Manfouet,Dongou,NA,NA,NA,2,0,0,0,0,0,0,2,0,0
D263,F,Moumbelou,Dongou,NA,NA,NA,4,0,0,0,0,2,0,1,0,0
D265,M,Boucy-boucy,Dongou,10839.6959,10839.6959,10839.6959,4,1,0,0,0,0,0,0,0,0
D266,F,Enyelle,Dongou,40642.1794,63341.4944,17942.8643,4,2,0,0,0,0,0,1,0,0
D271,F,Boucy-boucy,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D272,M,Boucy-boucy,Dongou,NA,NA,NA,2,0,0,0,0,0,1,1,0,0
D276,F,Boucy-boucy,Dongou,NA,NA,NA,3,0,0,0,0,0,0,3,0,0
D280,M,Boucy-boucy,Dongou,NA,NA,NA,1,0,0,0,0,0,0,1,0,0
D282,M,NA,Dongou,NA,NA,NA,2,0,0,0,0,1,0,0,0,0
D283,F,Manfouet,Dongou,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
D286,M,Boucy-boucy,Dongou,NA,NA,NA,2,0,0,0,0,2,0,0,0,0
D287,M,Losso,Dongou,NA,NA,NA,3,0,0,2,0,1,0,0,0,0
D292,F,Dongou,Dongou,NA,NA,NA,3,0,0,0,0,0,0,3,0,0
D293,F,Boucy-boucy,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D295,F,Boucy-boucy,Dongou,NA,NA,NA,1,0,0,0,0,0,0,1,0,0
D302,F,Manfouet,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D305,M,Boucy-boucy,Dongou,NA,NA,NA,3,0,0,0,0,3,0,0,0,0
D306,F,Boucy-boucy,Dongou,NA,NA,NA,2,0,0,0,0,0,0,0,0,0
D310,F,Boucy-boucy,Dongou,NA,NA,NA,1,0,0,0,0,0,1,0,0,0
D311,F,Boucy-boucy,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D312,M,Boleik,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D315,M,Moangouma,Dongou,NA,NA,NA,2,0,0,0,0,0,0,0,0,0
D316,F,Boucy-boucy,Dongou,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
D317,F,Boucy-boucy,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D318,M,Manfouet,Dongou,NA,NA,NA,3,0,0,0,0,3,0,0,0,0
D322,F,Boucy-boucy,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D324,M,Manfouet,Dongou,NA,NA,NA,2,0,0,0,0,1,0,0,0,0
D326,F,Boucy-boucy,Dongou,NA,NA,NA,1,0,0,0,0,0,1,0,0,0
D33,F,Manfouet,Dongou,3454.88979,3454.88979,3454.88979,2,1,0,0,0,0,1,0,0,0
D330,M,Boucy-boucy,Dongou,NA,NA,NA,2,0,0,0,0,1,0,0,0,0
D331,F,Bangui,Dongou,NA,NA,NA,1,0,0,0,0,0,0,1,0,0
D337,F,Losso,Dongou,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
D34,F,Manfouet,Dongou,NA,NA,NA,1,0,0,0,0,0,0,1,0,0
D343,F,Boucy-boucy,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D344,F,Boucy-boucy,Dongou,NA,NA,NA,2,0,0,0,0,0,0,0,0,0
D345,M,Malala,Dongou,NA,NA,NA,5,0,0,0,0,0,0,3,0,0
D346,F,Boucy-boucy,Dongou,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
D347,M,Manfout,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D349,F,Boucy-boucy,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D35,M,Maoangouma,Dongou,NA,NA,NA,2,0,0,0,0,0,0,0,0,0
D350,F,Boucy-boucy,Dongou,NA,NA,NA,1,0,0,0,0,0,0,1,0,0
D352,F,Boucy-boucy,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D353,M,Manfout,Dongou,NA,NA,NA,4,0,0,0,0,3,0,1,0,0
D357,F,Dongou,Dongou,NA,NA,NA,4,0,0,0,0,3,0,0,0,0
D358,F,Boucy-boucy,Dongou,NA,NA,NA,2,0,0,0,0,0,0,2,0,0
D359,M,Bangui,Dongou,NA,NA,NA,6,0,0,1,0,2,0,2,0,0
D360,M,Dongou,Dongou,NA,NA,NA,2,0,0,1,0,0,0,0,0,0
D361,F,Boucy-boucy,Dongou,NA,NA,NA,6,0,0,0,0,4,0,0,0,0
D363,F,Manfouet,Dongou,NA,NA,NA,2,0,0,0,0,0,0,0,0,0
D365,F,Boucy-boucy,Dongou,NA,NA,NA,1,0,0,0,0,0,0,1,0,0
D366,F,Mindjoukou,Dongou,NA,NA,NA,2,0,0,0,0,0,0,2,0,0
D367,M,Bolomo,Dongou,NA,NA,NA,1,0,0,0,0,0,0,1,0,0
D368,F,Boucy-boucy,Dongou,NA,NA,NA,7,0,0,0,0,7,0,0,0,0
D369,M,Manfouet,Dongou,NA,NA,NA,8,0,0,0,0,8,0,0,0,0
D37,M,Bondzale,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D373,F,Boucy-boucy,Dongou,NA,NA,NA,1,0,0,0,0,0,0,1,0,0
D375,M,Boucy-boucy,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D376,M,Manfouet,Dongou,NA,NA,NA,2,0,0,0,0,0,0,2,0,0
D379,M,Boucy-boucy,Dongou,NA,NA,NA,3,0,0,0,0,1,0,2,0,0
D38,F,Ndzoumbele,Dongou,NA,NA,NA,2,0,0,0,0,0,0,1,0,0
D380,F,Boucy-boucy,Dongou,NA,NA,NA,2,0,0,0,0,0,0,2,0,0
