"","Nom.du.campement","Old_person","Adulte","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Lieu.de.naissance.coded","Tranche.d.age","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","median","max","min","places_visited","total_fish"
"2","Makossa1",0,1,0,"MI10","M","Minganga","Adulte",17965.1632647885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17965.1632647885,17965.1632647885,17965.1632647885,23,1
"8","VMA",1,1,0,"MI105","F","Mbili","Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16992.4332653818,0,0,0,0,0,0,16992.4332653818,16992.4332653818,16992.4332653818,5,1
"9","VMA",0,1,0,"MI106","F","Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,8977.81551371977,14723.2585856623,14779.5745511928,15161.8323621648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16992.4332653818,0,0,0,0,0,0,14779.5745511928,16992.4332653818,8977.81551371977,19,5
"10","Bokéya1",1,0,0,"MI107","M","Attention","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17818.8668747982,0,0,0,0,0,0,17818.8668747982,17818.8668747982,17818.8668747982,16,1
"12","Bokéya1",0,1,0,"MI109","M","Attention","Adulte",0,0,0,0,0,0,0,0,0,0,9975.40314477158,11840.8383864408,15902.4603793189,15951.3023354086,16152.2522056469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15902.4603793189,16152.2522056469,9975.40314477158,19,5
"13","Makossa3",1,1,0,"MI11","F","Mossombo","Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,16,0
"14","Bokéya1",0,1,0,"MI110","F","Toukoulaka","Adulte",0,0,0,0,0,0,0,0,0,0,9975.40314477158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17818.8668747982,0,0,0,0,0,0,13897.1350097849,17818.8668747982,9975.40314477158,18,2
"17","Bokéya1",0,1,0,"MI113","M","Attention","Adulte",0,0,0,0,0,0,0,0,0,0,9975.40314477158,11840.8383864408,15902.4603793189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17818.8668747982,0,0,0,0,0,0,13871.6493828798,17818.8668747982,9975.40314477158,19,4
"18","Moundouala1",0,1,0,"MI114","M","","Adulte",0,0,0,0,0,0,0,0,0,0,10937.2744591185,0,17965.1632647885,18016.0218425999,18249.0084055429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19962.8730411335,0,0,0,0,0,0,18016.0218425999,19962.8730411335,10937.2744591185,19,5
"19","Bokéya1",0,1,0,"MI115","F","Bène","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17818.8668747982,0,0,0,0,0,0,17818.8668747982,17818.8668747982,17818.8668747982,19,1
"20","Bokéya1",0,1,0,"MI116","F","Minganga","Adulte",0,0,0,0,0,0,0,0,0,0,9975.40314477158,11840.8383864408,15902.4603793189,15951.3023354086,16152.2522056469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17818.8668747982,0,0,0,0,0,0,15926.8813573637,17818.8668747982,9975.40314477158,18,6
"21","Moundouala1",0,1,0,"MI117","F","Toukoulaka","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,17965.1632647885,18016.0218425999,18249.0084055429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19962.8730411335,0,0,0,0,0,0,18132.5151240714,19962.8730411335,17965.1632647885,18,4
"24","Makossa3",1,1,0,"MI12","F","Mossombo","Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,19,0
"27","Ndémiko",0,1,0,"MI122","F","Toukoulaka","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,14767.9270951954,14816.6461861055,15016.1899778387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16682.4570713522,0,0,0,0,0,0,14916.4180819721,16682.4570713522,14767.9270951954,19,4
"28","Ndémiko",0,1,0,"MI123","M","Minganga","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,14767.9270951954,14816.6461861055,15016.1899778387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16682.4570713522,0,0,0,0,0,0,14916.4180819721,16682.4570713522,14767.9270951954,27,4
"30","Ndémiko",0,1,0,"MI125","M","Attention","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16682.4570713522,0,0,0,0,0,0,16682.4570713522,16682.4570713522,16682.4570713522,19,1
"31","Ndémiko",0,0,0,"MI126","M","Attention","Adolescent",0,0,0,0,0,0,0,7283.85752063297,0,0,9159.38481959133,10788.7283652747,14767.9270951954,14816.6461861055,15016.1899778387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16682.4570713522,0,0,0,0,0,0,14767.9270951954,16682.4570713522,7283.85752063297,19,7
"32","Epopé",0,1,0,"MI127","M","Attention","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19647.3839041298,0,0,0,0,0,0,19647.3839041298,19647.3839041298,19647.3839041298,20,1
"33","Ndémiko",0,1,0,"MI128","F","Attention","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16682.4570713522,0,0,0,0,0,0,16682.4570713522,16682.4570713522,16682.4570713522,19,1
"34","Ndémiko",0,1,0,"MI129","F","Bène","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16682.4570713522,0,0,0,0,0,0,16682.4570713522,16682.4570713522,16682.4570713522,18,1
"35","Makossa1",0,1,0,"MI13","F","Minganga","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,12,0
"39","Epopé",0,1,0,"MI133","F","Minganga","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19647.3839041298,0,0,0,0,0,0,19647.3839041298,19647.3839041298,19647.3839041298,22,1
"41","Mbaya",0,0,0,"MI15","F","Mbili","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,13,0
"43","Mbaya",1,1,0,"MI17","M","Mossombo","Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,5885.9973622766,5941.77161417767,6369.20790186196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8166.58045220154,0,0,0,0,0,0,6155.48975801982,8166.58045220154,5885.9973622766,27,4
"44","Mbaya",0,1,0,"MI18","F","Mbili","Adulte",0,0,0,0,0,0,13090.9381926525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8166.58045220154,0,0,0,0,0,0,10628.759322427,13090.9381926525,8166.58045220154,19,2
"45","VMA",0,0,0,"MI19","M","Minganga","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,18,0
"47","Mbaya",0,0,0,"MI20","F","Mbaya","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8166.58045220154,0,0,0,0,0,0,8166.58045220154,8166.58045220154,8166.58045220154,11,1
"48","Mbaya",1,1,0,"MI21","F","Mossombo","Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,5885.9973622766,5941.77161417767,6369.20790186196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8166.58045220154,0,0,0,0,0,0,6155.48975801982,8166.58045220154,5885.9973622766,17,4
"49","Mbaya",0,1,0,"MI22","M","Minganga","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8166.58045220154,0,0,0,0,0,0,8166.58045220154,8166.58045220154,8166.58045220154,20,1
"52","VMA",1,1,0,"MI25","M","Minganga","Personne âgée",0,0,0,0,0,0,7095.06219146973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16992.4332653818,0,0,0,0,0,0,12043.7477284257,16992.4332653818,7095.06219146973,14,2
