,Nom.du.campement,Old_person,Adulte,Enfant...Notez.si.la.personne.est.un.enfant.,MY.REFERENCE,Sexe,Lieu.de.naissance.coded,Tranche.d.age,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,median,max,min,places_visited,total_fam_visit
28,Ndémiko,0,1,0,MI123,M,Minganga,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120631.9602,0,0,0,0,0,0,0,0,232315.3651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106121.6836,0,0,0,0,0,0,0,0,0,0,12405.06438,0,0,0,0,0,0,0,113376.8219,232315.3651,12405.06438,27,4
30,Ndémiko,0,1,0,MI125,M,Attention,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12405.06438,0,0,0,0,0,0,0,12405.06438,12405.06438,12405.06438,19,1
31,Ndémiko,0,0,0,MI126,M,Attention,Adolescent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20488.40306,0,0,0,0,0,0,0,0,20488.40306,20488.40306,20488.40306,19,1
32,Epopé,0,1,0,MI127,M,Attention,Adulte,0,0,2301.16162,2594.787771,0,3250.392007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54023.81035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2922.589889,54023.81035,2301.16162,20,4
33,Ndémiko,0,1,0,MI128,F,Attention,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20166.44704,0,12405.06438,0,0,0,0,0,0,0,16285.75571,20166.44704,12405.06438,19,2
34,Ndémiko,0,1,0,MI129,F,Bène,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20166.44704,0,12405.06438,0,0,0,0,0,0,0,16285.75571,20166.44704,12405.06438,18,2
35,Makossa1,0,1,0,MI13,F,Minganga,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,56.33787606,526.599252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.468564,526.599252,56.33787606,12,2
39,Epopé,0,1,0,MI133,F,Minganga,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9175.106172,0,0,0,0,0,0,0,9175.106172,9175.106172,9175.106172,22,1
41,Mbaya,0,0,0,MI15,F,Mbili,Adolescent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69643.10043,0,29693.50146,0,0,0,0,0,0,0,0,49668.30095,69643.10043,29693.50146,13,2
43,Mbaya,1,1,0,MI17,M,Mossombo,Personne âgée,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96480.42175,0,0,0,0,0,0,69643.10043,29781.78924,29693.50146,0,0,0,0,0,0,0,0,49712.44484,96480.42175,29693.50146,27,4
44,Mbaya,0,1,0,MI18,F,Mbili,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29693.50146,0,0,0,0,0,0,0,0,29693.50146,29693.50146,29693.50146,19,1
45,VMA,0,0,0,MI19,M,Minganga,Adolescent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,#NAME?,#NAME?,18,0
47,Mbaya,0,0,0,MI20,F,Mbaya,Adolescent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69643.10043,0,0,0,0,0,0,0,0,0,0,69643.10043,69643.10043,69643.10043,11,1
48,Mbaya,1,1,0,MI21,F,Mossombo,Personne âgée,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96480.42175,0,0,0,0,0,0,69643.10043,0,0,20470.5867,0,0,0,0,0,0,0,69643.10043,96480.42175,20470.5867,17,3
49,Mbaya,0,1,0,MI22,M,Minganga,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,#NAME?,#NAME?,20,0
