,Nom.du.campement,Old_person,Adulte,Enfant...Notez.si.la.personne.est.un.enfant.,MY.REFERENCE,Sexe,Lieu.de.naissance.coded,Tranche.d.age,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,median,max,min,places_visited,total_fam_visit
97,Epopé,0,1,0,MI67,F,Toukoulaka,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97759.30863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9175.106172,0,0,0,9170.596664,0,0,0,9175.106172,97759.30863,9170.596664,23,3
98,Makossa2,0,1,0,MI68,F,Minganga,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,#NAME?,#NAME?,14,0
100,Makossa3,1,1,0,MI7,M,Mossombo,Personne âgée,0,0,0,0,0,0,0,0,0,0,0,0,0,480.0804211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12846.54611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63316.26816,0,0,0,0,0,0,0,0,0,0,12846.54611,63316.26816,480.0804211,14,3
101,Makossa2,0,1,0,MI70,M,Mbili,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25875.14254,0,0,0,0,0,0,0,25875.14254,25875.14254,25875.14254,19,1
102,Makossa2,0,1,0,MI71,F,Mbili,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34848.26056,0,0,0,0,0,0,0,0,34848.26056,34848.26056,34848.26056,19,1
107,Makossa3,0,1,0,MI76,M,Mossombo,Adulte,0,0,0,0,0,0,0,15161.83236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15161.83236,15161.83236,15161.83236,13,1
108,Makossa3,0,1,0,MI77,F,Mbili,Adulte,0,0,0,0,0,0,0,15161.83236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12846.54611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35003.81177,35122.97712,0,0,0,0,0,0,0,0,25082.82206,35122.97712,12846.54611,13,4
109,Makossa3,0,1,0,MI78,F,Mossombo,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,#NAME?,#NAME?,13,0
111,Makossa3,0,1,0,MI8,F,Mossombo,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,526.599252,480.0804211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503.3398365,526.599252,480.0804211,10,2
113,Makossa3,0,0,0,MI81,M,Mossombo,Adolescent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12846.54611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63316.26816,0,0,0,0,0,0,0,0,0,0,38081.40713,63316.26816,12846.54611,12,2
118,Mbaya,0,1,0,MI86,F,,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6482.711479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29693.50146,0,0,0,0,0,0,0,0,18088.10647,29693.50146,6482.711479,16,2
120,Mbaya,0,1,0,MI88,M,Minganga,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158455.327,0,0,0,0,0,0,0,0,0,0,0,96480.42175,0,0,0,0,0,0,0,0,0,20470.5867,0,0,0,0,0,0,0,96480.42175,158455.327,20470.5867,21,3
123,Mbaya,0,1,0,MI90,M,Mossombo,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69643.10043,0,0,0,0,0,0,0,0,0,0,69643.10043,69643.10043,69643.10043,12,1
125,Mbaya,0,1,0,MI92,F,Minganga,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,#NAME?,#NAME?,18,0
129,Bylikombo2,0,1,0,MI96,M,Minganga,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,#NAME?,#NAME?,18,0
131,VMA,0,1,0,MI98,M,Attention,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11823.49477,0,0,0,0,0,0,0,11823.49477,11823.49477,11823.49477,24,1
132,Bylikombo2,0,1,0,MI99,F,Minganga,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,#NAME?,#NAME?,12,0
