"","Nom.du.campement.coded","Old_person","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Oui.","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.morts","Lieu.de.naissance.coded","Tranche.d.age","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","median","max","min","places_visited","total_fam_visit"
"23","Bouma",0,"Adulte","MI181","M",1,3,0,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91856.4107154401,0,0,0,0,0,0,61512.065331846,0,36883.222265333,0,0,0,0,0,0,0,0,0,0,0,61512.065331846,91856.4107154401,36883.222265333,8,3
"25","Bylikombo1",0,"Adulte","MI207","M",1,5,1,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101077.368882392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101077.368882392,101077.368882392,101077.368882392,9,1
"26","Bylikombo1",1,"Personne âgée","MI208","F",1,1,5,"Mossombo","Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75872.5526767324,24300.1225044234,24010.0708034357,14615.287209499,0,0,0,0,0,0,0,0,0,0,24155.0966539296,75872.5526767324,14615.287209499,6,4
"35","Bylikombo2",0,"Adulte","MI216","M",1,4,2,"Mobangui","Adulte",0,0,0,0,0,0,0,0,125764.744236896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241.30171438424,0,0,0,0,55632.6257355725,0,0,0,0,0,100257.707312892,0,0,0,0,0,0,0,25167.9742996709,24892.005416506,15503.8883848124,0,71000.0803783005,0,0,0,0,0,0,0,0,40400.3000176217,125764.744236896,1241.30171438424,11,8
"40","Bylikombo2",0,"Adulte","MI226","F",1,4,2,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241.30171438424,98639.454792017,0,0,0,0,0,0,0,0,98292.0464745734,100257.707312892,0,0,0,0,0,0,75054.5381504606,25167.9742996709,24892.005416506,0,0,0,0,0,0,0,0,0,0,15511.074529222,50111.2562250658,100257.707312892,1241.30171438424,9,8
"41","Essesse",0,"Adulte","MI187","M",1,5,2,"Mbili","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28173.8878017831,0,0,0,0,0,0,0,0,0,0,28173.8878017831,28173.8878017831,28173.8878017831,8,1
"42","Essesse",0,"Adulte","MI188","F",1,5,2,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61288.2741304611,0,37056.2834914006,0,0,0,0,0,0,0,0,0,0,0,49172.2788109308,61288.2741304611,37056.2834914006,4,2
"43","Essesse",0,"Adolescent","MI189","F",1,2,0,"Mossombo","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61288.2741304611,0,0,0,0,0,0,0,0,0,0,0,0,0,61288.2741304611,61288.2741304611,61288.2741304611,6,1
"46","Essesse",0,"Adolescent","MI192","F",0,NA,NA,"Toukoulaka","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,4,0
"47","Essesse",1,"Personne âgée","MI193","F",0,NA,NA,"Mossombo","Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,0,0
