"","Nom.du.campement.coded","Tranche.d.age","MY.REFERENCE","Sexe","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....1","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.morts","Lieu.de.naissance.coded","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","median","max","min","places_visited","total_bantu_work"
"22","Payo","Personne âgée","M222","M",1,"3","2","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,4,0
"23","Payo","Adulte","M223","F",1,"8","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46141.221811587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145245.237189943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95693.2295007648,145245.237189943,46141.221811587,6,2
"24","Payo","Adulte","M224","M",1,"7","1","Bangui",0,97371.5452443948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16936.2617916787,46141.221811587,0,0,0,0,0,0,0,0,0,0,52088.3942527075,0,0,0,0,0,145245.237189943,0,0,0,0,0,0,162756.001455586,0,0,0,0,0,0,0,0,0,0,0,0,74729.9697485511,162756.001455586,16936.2617916787,13,7
"26","Payo","Adulte","M227","F",1,"1","Aucun","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597.3212503376,0,0,0,0,16936.2617916787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145245.237189943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16936.2617916787,145245.237189943,1597.3212503376,6,4
"27","Payo","Adulte","M228","F",1,"7","0","Djoube",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16936.2617916787,46141.221811587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162756.001455586,0,0,0,0,0,0,0,0,0,0,0,0,46141.221811587,162756.001455586,16936.2617916787,5,3
"28","Payo","Adulte","M229","M",1,"5","1","Bangui",0,0,88460.233845982,0,0,0,0,0,0,0,0,0,0,0,0,1597.3212503376,0,0,0,0,0,46141.221811587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162756.001455586,0,0,0,0,0,0,0,0,0,0,0,0,67300.7278287845,162756.001455586,1597.3212503376,8,5
"29","Payo","Adulte","M230","M",1,"Erreur","","Macao",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597.3212503376,0,0,0,0,0,0,0,0,0,0,0,0,171279.944889144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162756.001455586,0,0,0,0,0,0,0,0,0,0,0,0,162756.001455586,171279.944889144,1597.3212503376,7,3
"36","Bate","Adulte","M237","F",1,"3","3","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17442.5116671937,46629.5862509959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32036.0489590948,46629.5862509959,17442.5116671937,4,2
"37","Bate","Adulte","M238","M",1,"3","3","Bandza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17442.5116671937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17442.5116671937,17442.5116671937,17442.5116671937,3,2
"38","Bete3","Adulte","M239","M",1,"2","1","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17120.3646064758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17120.3646064758,17120.3646064758,17120.3646064758,9,1
"39","Bete3","Adulte","M240","F",1,"2","1","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418.61090347273,0,0,0,0,17120.3646064758,46327.0918961585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17120.3646064758,46327.0918961585,1418.61090347273,4,4
