"","Nom.du.campement","Old_person","Adulte","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Lieu.de.naissance.coded","Tranche.d.age","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","median","max","min","places_visited","total_bantu_work"
"101","Makossa2",0,1,0,"MI70","M","Mbili","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34751.1026742071,0,0,0,0,0,0,0,0,0,34751.1026742071,34751.1026742071,34751.1026742071,19,1
"102","Makossa2",0,1,0,"MI71","F","Mbili","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2226.74474036455,0,0,0,0,0,0,2226.74474036455,2226.74474036455,2226.74474036455,19,1
"107","Makossa3",0,1,0,"MI76","M","Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63316.2681569639,0,0,0,0,0,0,0,0,0,0,63316.2681569639,63316.2681569639,63316.2681569639,13,1
"108","Makossa3",0,1,0,"MI77","F","Mbili","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63316.2681569639,0,0,0,0,0,0,0,0,0,0,63316.2681569639,63316.2681569639,63316.2681569639,13,1
"109","Makossa3",0,1,0,"MI78","F","Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93112.9134027813,0,0,0,0,0,0,63316.2681569639,0,0,0,0,0,0,0,0,0,0,78214.5907798726,93112.9134027813,63316.2681569639,13,2
"111","Makossa3",0,1,0,"MI8","F","Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,10,0
"113","Makossa3",0,0,0,"MI81","M","Mossombo","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,12,0
"118","Mbaya",0,1,0,"MI86","F","","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470.5867014215,0,0,0,0,0,0,0,20470.5867014215,20470.5867014215,20470.5867014215,16,1
"120","Mbaya",0,1,0,"MI88","M","Minganga","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69643.1004311899,0,0,0,0,0,0,0,0,0,0,69643.1004311899,69643.1004311899,69643.1004311899,21,1
"123","Mbaya",0,1,0,"MI90","M","Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29781.789239708,29693.5014605877,20470.5867014215,0,0,0,0,0,0,0,29693.5014605877,29781.789239708,20470.5867014215,12,3
"125","Mbaya",0,1,0,"MI92","F","Minganga","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69643.1004311899,0,0,0,0,0,0,0,0,0,0,69643.1004311899,69643.1004311899,69643.1004311899,18,1
"129","Bylikombo2",0,1,0,"MI96","M","Minganga","Adulte",0,0,0,0,0,0,0,0,0,0,1217.94156755871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75054.5381504606,0,0,0,0,0,0,0,0,0,0,38136.2398590097,75054.5381504606,1217.94156755871,18,2
"131","VMA",0,1,0,"MI98","M","Attention","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93870.6708104937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103668.497582964,0,0,0,0,0,0,0,0,21239.8847915227,0,0,0,0,0,0,0,0,93870.6708104937,103668.497582964,21239.8847915227,24,3
"132","Bylikombo2",0,1,0,"MI99","F","Minganga","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98639.454792017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75054.5381504606,0,0,0,0,0,0,0,0,0,0,86846.9964712388,98639.454792017,75054.5381504606,12,2
